"9mm	Weight_dn9.1	Weight_dn9.2	Weight_dn9.3	Weight_un9.1	Weight_un9.2	Weight_un9.3	Weight_dp9.1	Weight_dp9.2	Weight_dp9.3	Weight_up9.1	Weight_up9.2	Weight_up9.3			dn평균	dn분산	dn표편	un평균	un분산	un표편	dp평균	dp분산	dp표편	up평균	up분산	up표편"
"40kpa	5.61	5.32	5.22	4.72	4.85	5.32	9.52	9.28	9.26	3.69	3.43	3.4		40kpa	5.38	0.041033333	0.202566861	4.96	0.099633333	0.315647483	9.35	0.020933333	0.144683563	3.51	0.025433333	0.159478316"
"50kpa	6.58	6.35	6.24	6.22	6.39	6.81	11.88	11.6	11.59	4.5	4.23	4.21		50kpa	6.39	0.0301	0.173493516	6.47	0.092233333	0.303699413	11.69	0.0271	0.164620776	4.31	0.026233333	0.161967075"
"60kpa							14.01	13.94	13.87	5.31	5.05	5.03		60kpa							13.94	0.0049	0.07	5.13	0.0244	0.156204994"
"70kpa							16.37	16.23	16.15	6.13	5.88	5.83		70kpa							16.25	0.0124	0.111355287	5.95	0.025833333	0.160727513"
"																										"
"21mm	dn21.1	dn21.2	dn21.3	un21.1	un21.2	un21.3	dp21.1	dp21.2	dp21.3	up21.1	up21.2	up21.3														"
"10kpa	1.34	1.31	1.25	1.07	1.8	0.77	2.52	2.32	2.28	0.8	0.57	0.51	21mm	10kpa	1.3	0.0021	0.045825757	1.21	0.280633333	0.529748368	2.37	0.016533333	0.12858201	0.63	0.023433333	0.1530795"
"20kpa	2.46	2.49	2.44	3.46	3.86	2.34	4.89	4.59	4.52	1.44	1.14	1.05		20kpa	2.46	0.000633333	0.025166115	3.22	0.6208	0.787908624	4.67	0.038633333	0.19655364	1.21	0.0417	0.204205779"
"30kpa	3.39	3.53	3.45	5.48	5.55	3.22	7.36	6.9	6.79	2.01	1.68	1.55		30kpa	3.46	0.004933333	0.070237692	4.75	1.7569	1.325481045	7.02	0.091433333	0.302379453	1.75	0.056233333	0.237135685"
"40kpa	4.26	4.41	4.33	6.42	7.08	4.09	9.83	9.26	9.13	2.54	2.22	2.05		40kpa	4.33	0.005633333	0.075055535	5.86	2.467433333	1.570806587	9.41	0.138633333	0.372334975	2.27	0.0619	0.248797106"
"50kpa	5.09	5.26	5.18	7.22	8.51	4.43	12.2	11.59	11.45	3.14	2.81	2.63		50kpa	5.18	0.007233333	0.085049005	6.72	4.3491	2.085449592	11.75	0.159033333	0.398789836	2.86	0.0669	0.258650343"
"60kpa							14.59	13.96	13.72	3.78	3.48	3.28		60kpa							14.09	0.2019	0.449332839	3.51	0.063333333	0.251661148"
"70kpa							16.91	16.27	16.01	4.47	4.1	3.94		70kpa							16.4	0.214533333	0.463177432	4.17	0.0739	0.271845544"
"																										"
"24mm	dn24.1	dn24.2	dn24.3	un24.1	un24.2	un24.3	dp24.1	dp24.2	dp24.3	up24.1	up24.2	up24.3														"
