Weight_dn27.1,Weight_dn27.2,Weight_dn27.3,Weight_un27.1,Weight_un27.2,Weight_un27.3,Weight_dp27.1,Weight_dp27.2,Weight_dp27.3,Weight_up27.1,Weight_up27.2,Weight_up27.3
8.93,0.74,1.06,0.73,0.66,0.92,0.68,1.47,1.62,0.62,0.51,0.67
8.93,1.49,1.49,0.92,1.55,1.84,1.77,2.32,2.41,0.8,0.55,0.66
8.84,1.58,1.46,1.05,1.85,2.05,1.98,2.38,2.44,0.8,0.54,0.66
9.45,1.47,1.4,1.11,1.87,2.06,1.98,2.38,2.42,0.79,0.53,0.65
9.45,1.34,1.28,0.98,1.75,1.96,1.97,2.35,2.41,0.78,0.53,0.65
9.1,1.31,1.21,0.95,1.56,1.77,1.94,2.34,2.39,0.78,0.53,0.64
9.45,1.32,1.22,1.0,1.54,1.74,1.94,2.34,2.39,0.78,0.52,0.64
9.89,1.34,1.23,1.05,1.61,1.81,1.94,2.34,2.39,0.78,0.52,0.64
9.45,1.34,1.23,1.12,1.63,1.83,1.94,2.34,2.39,0.77,0.53,0.63
9.45,1.34,1.23,1.17,1.64,1.84,1.91,2.32,2.39,0.75,0.52,0.6
9.19,1.34,1.22,1.23,1.67,1.85,1.76,2.2,2.36,0.7,0.51,0.55
8.93,1.34,1.22,1.27,1.7,1.88,1.53,1.99,2.04,0.65,0.59,0.52
9.37,1.34,1.22,1.28,1.72,1.91,1.41,1.85,1.94,0.65,0.87,0.51
9.37,1.35,1.22,1.28,1.73,1.93,1.4,1.84,1.92,0.66,0.92,0.51
9.37,1.35,1.22,1.28,1.73,1.93,1.41,1.86,1.93,0.66,0.92,0.51
9.45,1.35,1.22,1.29,1.74,1.93,1.41,1.87,1.94,0.66,0.91,0.51
8.66,1.35,1.22,1.3,1.74,1.93,1.41,1.89,1.94,0.67,0.9,0.52
8.93,1.35,1.22,1.32,1.75,1.93,1.42,1.89,1.94,0.67,0.9,0.52
8.93,1.35,1.22,1.32,1.75,1.93,1.42,1.89,1.95,0.67,0.9,0.52
8.93,1.35,1.22,1.33,1.75,1.94,1.42,1.9,1.96,0.67,0.86,0.52
8.84,1.36,1.22,1.34,1.76,1.94,1.42,1.9,1.96,0.67,0.81,0.52
9.45,1.35,1.21,1.34,1.76,1.94,1.43,1.9,1.96,0.67,0.79,0.52
9.45,1.35,1.21,1.35,1.77,1.95,1.43,1.9,1.96,0.67,0.79,0.52
9.1,1.35,1.21,1.35,1.77,1.95,1.44,1.9,1.96,0.67,0.79,0.52
9.45,1.35,1.21,1.36,1.77,1.95,1.44,1.9,1.97,0.67,0.79,0.52
9.89,1.35,1.2,1.37,1.78,1.96,1.45,1.91,1.98,0.67,0.79,0.52
9.45,1.35,1.2,1.37,1.78,1.96,1.45,1.91,1.98,0.67,0.79,0.52
9.45,1.35,1.2,1.38,1.78,1.96,1.45,1.91,1.98,0.67,0.79,0.52
9.19,1.35,1.2,1.38,1.78,1.96,1.46,1.91,1.98,0.67,0.79,0.52
8.93,1.35,1.2,1.39,1.79,1.97,1.46,1.91,1.98,0.67,0.79,0.52
9.37,1.35,1.2,1.39,1.79,1.97,1.46,1.92,1.98,0.67,0.8,0.52
9.37,1.35,1.2,1.39,1.79,1.97,1.46,1.92,1.98,0.67,0.8,0.52
9.37,1.35,1.19,1.4,1.79,1.97,1.47,1.92,1.99,0.67,0.8,0.52
9.45,1.35,1.19,1.4,1.8,1.97,1.48,1.92,1.99,0.67,0.8,0.52
8.66,1.34,1.19,1.41,1.8,1.98,1.48,1.92,1.99,0.67,0.8,0.52
8.93,1.34,1.19,1.41,1.8,1.98,1.48,1.92,1.99,0.67,0.8,0.53
1.27,1.34,1.19,1.41,1.8,1.98,1.48,1.92,1.99,0.67,0.8,0.52
1.63,1.34,1.19,1.41,1.8,1.98,1.48,1.92,1.99,0.68,0.8,0.52
1.54,1.34,1.19,1.42,1.8,1.98,1.49,1.92,1.99,0.68,0.8,0.52
1.38,1.34,1.18,1.42,1.81,1.98,1.49,1.92,1.99,0.68,0.8,0.52
1.33,1.34,1.18,1.42,1.81,1.98,1.49,1.93,1.99,0.68,0.8,0.52
1.35,1.34,1.18,1.42,1.81,1.99,1.49,1.93,1.99,0.68,0.8,0.52
1.37,1.34,1.18,1.43,1.81,1.99,1.49,1.93,1.99,0.68,0.8,0.52
