Weight_dn24.1,Weight_dn24.2,Weight_dp24.3,Weight_un24.1,Weight_un24.2,Weight_un24.3,Weight_dp24.1,Weight_dp24.2,Weight_dp24.3.1,Weight_up24.1,Weight_up24.2,Weight_up24.3
1.58,2.26,2.08,0.62,0.85,1.11,2.57,2.36,5.06,0.56,1.09,0.6
1.59,2.31,2.21,0.62,0.85,1.09,2.57,2.36,4.96,0.55,1.07,0.6
1.58,2.3,2.16,0.62,0.84,1.07,2.56,2.36,4.71,0.55,1.06,0.59
1.58,2.27,2.02,0.63,0.83,1.07,2.56,2.36,4.54,0.54,1.05,0.58
1.58,2.25,1.94,0.84,0.86,1.27,2.56,2.36,4.56,0.54,1.05,0.58
1.58,2.2,1.95,2.55,1.25,2.15,2.55,2.36,4.57,0.55,1.04,0.57
1.58,2.2,1.97,2.76,2.35,3.11,2.55,2.68,4.58,0.59,1.02,0.57
1.57,2.2,2.03,2.61,3.13,3.37,2.55,4.34,4.59,0.58,1.01,0.61
1.57,2.2,2.07,2.33,3.21,2.86,2.55,5.24,4.6,0.58,1.01,0.63
1.57,2.22,2.06,2.27,2.97,2.73,2.55,5.22,4.6,0.57,1.0,0.63
1.57,2.24,2.04,2.28,2.68,2.75,2.54,5.19,4.6,0.57,0.99,0.62
1.57,2.24,2.01,2.32,2.64,2.78,2.54,5.17,4.6,0.56,0.98,0.61
1.58,2.22,1.98,2.49,2.72,2.94,2.54,5.16,4.61,0.56,0.97,0.6
2.21,2.21,1.98,2.67,2.91,3.15,2.54,5.16,4.61,0.55,0.97,0.6
2.49,2.2,1.98,2.63,3.07,3.2,2.54,5.08,4.61,0.55,0.96,0.59
2.52,2.19,1.98,2.59,3.06,3.16,2.54,4.8,4.61,0.54,0.97,0.59
2.41,2.19,2.0,2.54,3.02,3.1,2.54,4.56,4.61,0.58,0.97,0.58
2.25,2.19,2.02,2.51,2.96,2.96,2.53,4.58,4.61,0.62,0.98,0.58
2.23,2.2,2.02,2.5,2.89,2.97,2.53,4.6,4.61,0.62,1.02,0.57
2.25,2.2,2.01,2.51,2.86,2.98,2.53,4.61,4.61,0.61,1.03,0.56
2.28,2.2,2.0,2.54,2.88,3.03,2.53,4.61,4.62,0.61,1.03,0.56
2.33,2.19,1.99,2.64,2.96,3.15,2.53,4.61,4.62,0.6,1.02,0.57
