Weight_up_n4,Weight_dp_n4,Weight_dn_n4,Weight_un_n4,Weight_up_n6,Weight_dp_n6,Weight_dn_n6,Weight_un_n6,Weight_up_n8,Weight_dp_n8,Weight_dn_n8,Weight_un_n8,Weight_up_n10,Weight_dp_n10,Weight_dn_n10,Weight_un_n10
0.12,0.7,0.62,0.26,0.55,0.85,1.14,1.44,0.69,1.26,1.21,1.5,0.76,1.61,2.31,0.71
0.12,0.7,0.65,0.25,0.55,0.85,1.15,1.45,0.88,1.26,1.21,1.46,0.76,1.61,2.31,0.72
0.11,0.71,0.65,0.24,0.55,0.85,1.15,1.48,1.24,1.26,1.21,1.36,0.76,1.61,2.3,1.46
0.11,0.76,0.64,0.24,0.84,0.85,1.15,1.52,1.31,1.26,1.22,1.34,0.77,1.6,2.29,1.74
0.11,0.77,0.63,0.27,1.15,0.85,1.15,1.52,1.31,1.26,1.22,1.35,0.77,1.6,2.29,1.79
0.11,0.76,0.63,0.28,1.19,0.85,1.15,1.51,1.31,1.26,1.22,1.36,0.76,1.6,2.29,1.8
0.11,0.75,0.66,0.27,1.18,0.85,1.16,1.51,1.31,1.26,1.22,1.37,0.76,1.6,2.29,1.71
0.11,0.75,0.66,0.25,1.17,0.85,1.16,1.51,1.31,1.26,1.22,1.4,0.77,1.6,2.29,1.66
0.11,0.74,0.71,0.24,1.16,0.85,1.16,1.51,1.3,1.26,1.22,1.44,0.77,1.59,2.3,1.67
0.11,0.73,0.98,0.25,1.16,0.85,1.16,1.51,1.26,1.26,1.22,1.43,0.77,1.59,2.3,1.69
0.12,0.73,1.21,0.28,1.16,0.85,1.16,1.51,1.2,1.26,1.23,1.42,0.77,1.59,2.3,1.7
0.12,0.72,1.24,0.28,1.06,0.85,1.17,1.52,1.18,1.26,1.23,1.42,0.77,1.59,2.3,1.88
0.12,0.71,1.22,0.26,1.01,0.85,1.17,1.52,1.19,1.26,1.23,1.42,0.77,1.58,2.3,1.89
0.11,0.7,1.17,0.25,1.01,0.85,1.17,1.52,1.19,1.26,1.23,1.42,0.77,1.58,2.32,1.87
0.11,0.72,1.16,0.24,1.01,0.85,1.17,1.52,1.2,1.26,1.23,1.42,0.77,1.58,2.34,1.85
0.11,0.77,1.16,0.24,1.01,0.85,1.17,1.53,1.2,1.26,1.23,1.42,0.77,1.58,2.35,1.85
0.11,0.78,1.15,0.27,1.01,0.85,1.18,1.53,1.2,1.26,1.23,1.42,0.77,1.57,2.34,1.85
0.11,0.77,1.19,0.27,1.01,0.85,1.18,1.53,1.2,1.27,1.23,1.42,0.77,1.57,2.33,1.85
0.11,0.76,1.24,0.26,1.01,0.85,1.18,1.53,1.2,1.27,1.24,1.42,0.77,1.57,2.33,1.85
0.11,0.76,1.23,0.25,1.01,0.85,1.18,1.53,1.2,1.27,1.24,1.42,0.77,1.57,2.33,1.91
0.11,0.75,1.22,0.24,1.01,0.85,1.19,1.53,1.2,1.4,1.24,1.43,0.78,1.57,2.33,1.95
0.12,0.74,1.2,0.25,1.01,0.85,1.19,1.53,1.2,2.16,1.24,1.43,0.94,1.56,2.33,1.94
0.12,0.73,1.23,0.28,1.01,0.85,1.19,1.53,1.21,2.67,1.24,1.43,1.22,1.56,2.32,1.92
0.12,0.72,1.25,0.28,1.01,0.86,1.19,1.54,1.21,2.73,1.24,1.43,1.28,1.56,2.32,1.91
0.11,0.72,1.24,0.26,1.01,0.86,1.2,1.54,1.21,2.73,1.24,1.43,1.28,1.56,2.33,1.91
0.11,0.71,1.22,0.24,1.01,0.95,1.2,1.54,1.21,2.73,1.24,1.43,1.27,1.56,2.36,1.9
0.11,0.71,1.21,0.25,1.01,1.59,1.2,1.54,1.21,2.74,1.25,1.43,1.26,1.55,2.36,1.91
0.11,0.73,1.23,0.28,1.01,2.03,1.2,1.54,1.21,2.74,1.25,1.43,1.25,1.55,2.35,1.96
0.11,0.76,1.26,0.29,1.01,2.08,1.22,1.54,1.21,2.71,1.29,1.44,1.25,1.55,2.35,1.98
0.11,0.76,1.25,0.27,1.01,2.07,1.49,1.54,1.21,2.58,2.14,1.44,1.24,1.55,2.34,1.96
0.12,0.74,1.22,0.26,1.01,2.07,1.99,1.84,1.21,2.48,2.21,1.44,1.2,1.54,2.34,1.95
0.22,0.74,1.24,0.35,1.01,2.07,2.19,2.45,1.21,2.48,2.2,1.44,1.16,1.54,2.34,1.94
0.23,0.73,1.27,0.71,1.01,2.07,2.2,2.8,1.21,2.5,2.15,1.44,1.15,1.54,2.34,1.93
0.23,0.72,1.26,1,1.01,1.98,2.15,2.82,1.22,2.5,2.08,1.44,1.16,1.54,2.34,1.95
0.23,0.72,1.24,0.98,1.01,1.85,2.08,2.8,1.22,2.5,2.08,1.44,1.16,1.55,2.38,2.01
0.23,0.72,1.23,0.94,1.01,1.81,2.09,2.71,1.22,2.5,2.11,1.44,1.16,1.54,2.37,2.02
0.23,0.77,1.25,0.89,1.01,1.81,2.11,2.65,1.22,2.51,2.13,1.44,1.16,1.54,2.36,2
0.23,0.78,1.28,0.88,1.01,1.82,2.12,2.66,1.22,2.51,2.16,1.44,1.17,2.13,2.36,1.97
0.23,0.78,1.27,0.87,1.01,1.82,2.13,2.69,1.22,2.51,2.18,1.45,1.21,3.6,2.36,1.96
0.23,0.79,1.24,0.87,1.01,1.82,2.16,2.71,1.22,2.51,2.2,1.45,1.23,3.98,2.35,1.96
0.24,1.13,1.25,0.93,1.01,1.82,2.18,2.73,1.22,2.51,2.21,1.45,1.22,3.97,2.38,1.99
0.24,1.47,1.28,1,1.01,1.82,2.19,2.78,1.22,2.52,2.22,1.45,1.22,3.94,2.47,2.04
0.24,1.51,1.27,0.99,1.01,1.82,2.19,2.8,1.22,2.52,2.22,1.45,1.21,3.92,2.8,2.04
0.24,1.5,1.26,0.94,1.01,1.82,2.19,2.79,1.22,2.52,2.22,1.45,1.21,3.89,2.84,2.01
0.24,1.49,1.25,0.92,1.01,1.82,2.2,2.78,1.22,2.52,2.22,1.45,1.2,3.88,2.84,2
0.24,1.48,1.26,0.92,1,1.82,2.2,2.78,1.22,2.52,2.23,1.45,1.2,3.87,2.78,1.98
0.23,1.47,1.29,0.98,1,1.82,2.2,2.78,1.22,2.52,2.24,1.45,1.19,3.79,2.76,1.98
0.23,1.45,1.26,1,1.01,1.83,2.21,2.79,1.22,2.52,2.24,1.45,1.18,3.61,2.78,2.01
0.24,1.43,1.25,0.97,1,1.83,2.21,2.79,1.22,2.53,2.25,1.45,1.18,3.49,2.8,2.06
0.24,1.37,1.26,0.95,1.03,1.83,2.22,2.79,1.23,2.53,2.25,1.45,1.19,3.49,2.81,2.05
0.25,1.33,1.29,0.93,1.29,1.83,2.22,2.79,1.23,2.53,2.25,1.45,1.24,3.51,2.83,2.03
0.25,1.32,1.29,0.99,1.6,1.83,2.22,2.8,1.23,2.53,2.26,1.46,1.25,3.51,2.93,2.01
0.24,1.33,1.27,1,1.62,1.83,2.23,2.8,1.27,2.53,2.26,1.46,1.24,3.51,2.92,2.01
0.24,1.33,1.26,0.97,1.61,1.83,2.24,2.8,1.58,2.53,2.27,1.47,1.24,3.51,2.91,2
0.24,1.35,1.27,0.95,1.6,1.83,2.24,2.8,1.84,2.53,2.27,1.64,1.23,3.52,2.91,2.05
0.24,1.41,1.3,0.94,1.59,1.83,2.24,2.81,1.86,2.53,2.27,2.13,1.22,3.51,2.91,2.08
0.25,1.41,1.28,0.97,1.57,1.83,2.24,2.81,1.85,2.53,2.28,2.47,1.21,3.51,2.91,2.06
0.25,1.41,1.26,1.01,1.49,1.83,2.25,2.81,1.85,2.54,2.28,2.52,1.21,3.51,2.92,2.04
0.25,1.4,1.27,0.99,1.45,1.83,2.25,2.81,1.85,2.54,2.28,2.51,1.2,3.51,2.92,2.03
0.24,1.39,1.3,0.97,1.45,1.83,2.25,2.81,1.8,2.54,2.29,2.38,1.2,3.5,2.93,2.02
0.24,1.38,1.3,0.95,1.46,1.83,2.26,2.81,1.73,2.54,2.29,2.39,1.19,3.5,2.94,2.01
0.24,1.37,1.28,1.01,1.46,1.83,2.26,2.81,1.71,2.54,2.29,2.4,1.19,3.5,2.94,2.02
0.24,1.36,1.27,1.01,1.46,1.83,2.27,2.82,1.72,2.54,2.3,2.42,1.18,3.51,2.94,2.09
0.24,1.35,1.28,0.98,1.46,1.83,2.27,2.82,1.72,2.54,2.3,2.43,1.18,3.71,2.94,2.06
0.25,1.4,1.43,0.96,1.46,1.84,2.27,2.82,1.72,2.54,2.3,2.45,1.22,3.72,2.95,2.05
0.25,1.42,1.71,0.95,1.46,1.84,2.27,2.82,1.72,2.54,2.31,2.5,1.23,3.71,2.97,2.03
0.25,1.41,1.87,0.97,1.46,1.84,2.28,2.84,1.73,2.54,2.31,2.53,1.23,3.71,2.99,2.03
0.24,1.4,1.87,1.01,1.46,1.84,2.28,2.97,1.73,2.54,2.31,2.52,1.22,3.69,2.98,2.02
0.24,1.39,1.85,0.98,1.46,1.84,2.28,3.41,1.73,2.54,2.31,2.51,1.22,3.68,2.98,2.03
0.24,1.38,1.84,0.96,1.46,1.84,2.29,3.84,1.73,2.55,2.32,2.51,1.21,3.67,2.98,2.08
0.24,1.37,1.83,0.95,1.46,1.84,2.29,3.95,1.73,2.55,2.32,2.51,1.21,3.66,2.98,2.09
0.25,1.36,1.82,1,1.46,1.84,2.29,3.94,1.73,2.55,2.32,2.51,1.2,3.65,2.97,2.05
0.25,1.38,1.82,1.02,1.46,1.84,2.3,3.93,1.73,2.55,2.33,2.51,1.19,3.64,2.97,2.04
0.25,1.4,1.9,1,1.46,1.84,2.3,3.89,1.73,2.55,2.33,2.51,1.21,3.63,2.98,2.03
0.25,1.39,1.89,0.98,1.45,1.84,2.3,3.89,1.73,2.55,2.33,2.51,1.26,3.63,2.99,2.02
0.24,1.38,1.87,0.96,1.45,1.84,2.3,3.9,1.74,2.55,2.33,2.51,1.27,3.62,3.01,2.06
0.24,1.38,1.86,0.96,1.45,1.84,2.3,3.92,1.74,2.55,2.33,2.52,1.26,3.62,3.02,2.1
0.24,1.41,1.88,1.02,1.45,1.84,2.31,3.93,1.74,2.55,2.33,2.53,1.26,3.61,3.01,2.09
0.25,1.43,1.91,0.99,1.45,1.84,2.31,3.94,1.74,2.55,2.34,2.53,1.25,3.61,3,2.09
0.25,1.42,1.91,0.97,1.45,1.84,2.31,3.94,1.74,2.55,2.34,2.53,1.24,3.61,3.01,2.38
0.25,1.41,1.89,0.96,1.45,1.84,2.32,3.95,1.74,2.55,2.34,2.53,1.23,3.59,3.12,3.55
0.25,1.4,1.89,0.99,1.45,1.85,2.32,3.96,1.74,2.55,2.34,2.54,1.22,3.59,3.5,3.6
0.24,1.39,1.92,1.03,1.45,1.85,2.32,3.96,1.74,2.55,2.35,2.54,1.22,3.59,3.87,3.58
0.24,1.38,1.92,1.01,1.45,1.85,2.32,3.97,1.75,3.72,2.35,2.54,1.21,3.58,3.98,3.51
0.25,1.38,1.9,0.98,1.45,1.85,2.32,3.98,1.75,4.32,2.35,2.55,1.21,3.58,3.98,3.45
0.25,1.4,1.89,0.97,1.45,1.85,2.33,3.99,1.75,4.39,2.35,2.55,1.2,3.57,3.97,3.45
0.25,1.41,1.92,1.02,1.45,1.85,2.33,3.99,1.75,4.4,2.35,2.55,1.2,3.57,3.96,3.46
0.25,1.4,1.94,1.02,1.45,1.85,2.4,4,1.75,4.4,2.36,2.55,1.19,3.56,3.96,3.47
0.25,1.39,1.92,0.99,1.45,1.85,2.73,4,1.75,4.41,2.36,2.55,1.19,3.56,3.97,3.57
0.25,1.39,1.9,0.97,1.45,1.85,3.12,4,1.76,4.41,2.36,2.56,1.23,3.55,3.97,3.68
0.24,1.43,1.93,0.97,1.45,1.85,3.23,4,1.76,4.36,2.36,2.56,1.26,3.55,3.98,3.69
0.25,1.43,1.95,1.01,1.45,1.85,3.24,4.01,1.76,4.19,2.37,2.56,1.25,3.54,3.99,3.66
0.25,1.42,1.93,1.04,1.45,1.85,3.2,4.01,1.76,4.13,2.37,2.56,1.25,3.54,3.99,3.65
0.25,1.41,1.91,1.01,1.45,1.85,3.14,4.01,1.76,4.15,2.37,2.56,1.24,3.53,3.99,3.65
0.25,1.4,1.91,0.97,1.45,1.86,3.13,4.01,1.76,4.15,2.37,2.57,1.24,3.53,4.04,3.65
0.24,1.39,1.94,0.97,1.45,2.1,3.16,4.01,1.76,4.15,2.37,2.57,1.23,3.52,4.06,3.65
0.24,1.38,1.95,1.03,1.45,3.17,3.18,4.01,1.76,4.16,2.42,2.57,1.22,3.53,4.05,3.65
0.25,1.42,1.93,1.03,1.45,3.19,3.19,4.01,1.76,4.16,3.17,2.57,1.21,3.53,4.05,3.76
0.25,1.45,1.91,1,1.45,3.19,3.23,4.02,1.77,4.16,3.34,2.57,1.21,3.54,4.05,3.77
0.25,1.44,1.96,0.98,1.45,3.19,3.26,4.02,1.77,4.17,3.35,2.57,1.2,3.54,4.05,3.75
0.25,1.43,1.95,0.97,1.45,3.19,3.26,4.02,1.77,4.17,3.34,2.58,1.2,3.53,4.05,3.74
0.25,1.42,1.93,1.01,1.45,3.16,3.26,4.02,1.77,4.17,3.28,2.58,1.22,3.53,4.05,3.73
0.24,1.41,1.92,1.01,1.45,3.01,3.26,4.02,1.77,4.17,3.27,3.02,1.44,3.52,4.05,3.72
0.24,1.4,1.93,0.99,1.45,2.89,3.27,4.02,1.77,4.17,3.28,3.54,1.73,3.52,4.05,3.72
0.25,1.39,1.96,1.04,1.45,2.88,3.28,4.06,1.77,4.17,3.3,3.78,1.77,3.52,4.05,3.75
0.25,1.39,1.96,1.37,1.45,2.88,3.28,4.27,1.77,4.17,3.31,3.8,1.76,3.52,4.06,3.84
0.25,1.43,1.94,1.62,1.51,2.88,3.29,4.61,1.77,4.17,3.34,3.8,1.74,3.65,4.09,3.81
0.25,1.46,1.95,1.6,1.84,2.88,3.29,5,1.77,4.17,3.37,3.78,1.73,3.69,4.1,3.8
0.24,1.45,1.97,1.57,2.04,2.89,3.3,5.05,1.77,4.18,3.38,3.75,1.72,3.69,4.09,3.79
0.24,1.44,1.96,1.55,2.04,2.89,3.3,5.08,1.77,4.18,3.38,3.76,1.67,3.69,4.09,3.78
0.25,1.43,1.94,1.53,2.03,2.89,3.31,5.09,1.77,4.18,3.38,3.77,1.59,3.68,4.08,3.77
0.25,1.42,1.93,1.5,2.02,2.89,3.31,5.06,1.77,4.18,3.38,3.8,1.57,3.67,4.08,3.77
0.25,1.41,2,1.49,2.02,2.89,3.32,4.96,1.78,4.18,3.38,3.82,1.58,3.66,4.08,3.82
0.25,1.4,2.22,1.49,2.01,2.89,3.33,4.93,1.78,4.18,3.38,3.82,1.59,3.66,4.08,3.88
0.25,1.39,2.44,1.57,1.9,2.9,3.33,4.94,1.79,4.18,3.38,3.83,1.59,3.65,4.08,3.84
0.29,1.39,2.5,1.63,1.9,2.9,3.34,4.96,2,4.18,3.39,3.84,1.66,3.64,4.08,3.83
0.37,1.46,2.48,1.61,1.9,2.9,3.34,4.96,2.38,4.18,3.39,3.85,1.69,3.64,4.09,3.82
0.4,1.45,2.47,1.58,1.9,2.9,3.34,4.97,2.38,4.19,3.39,3.86,1.68,3.63,4.11,3.81
0.39,1.44,2.49,1.56,1.9,2.91,3.35,4.97,2.37,4.19,3.39,3.87,1.67,3.63,4.12,3.8
0.39,1.43,2.54,1.6,1.9,2.91,3.35,4.98,2.37,4.19,3.39,3.9,1.66,3.63,4.11,3.82
0.39,1.42,2.55,1.65,1.91,2.91,3.36,4.98,2.37,4.19,3.39,3.9,1.65,4.02,4.11,3.89
0.39,1.41,2.53,1.63,1.91,2.91,3.37,4.99,2.34,4.19,3.39,3.9,1.65,5.66,4.14,3.91
0.39,1.4,2.51,1.6,1.91,2.92,3.37,4.99,2.27,4.19,3.38,3.9,1.64,6.36,4.31,3.86
0.4,1.39,2.51,1.58,1.91,2.92,3.37,4.99,2.26,4.19,3.38,3.9,1.62,6.31,4.57,3.85
0.4,1.46,2.57,1.59,1.9,2.92,3.38,5,2.26,4.19,3.38,3.91,1.62,6.28,4.76,3.84
0.4,1.46,2.56,1.65,1.9,2.92,3.38,5,2.28,4.19,3.38,3.91,1.61,6.25,4.86,3.83
0.4,1.45,2.54,1.66,1.9,2.92,3.39,5.01,2.28,4.19,3.38,3.91,1.61,6.24,4.91,3.83
0.41,1.44,2.53,1.63,1.9,2.92,3.39,5.01,2.28,4.19,3.38,3.91,1.61,6.22,4.95,3.87
0.41,1.43,2.56,1.59,1.9,2.92,3.39,5.01,2.28,4.19,3.38,3.92,1.62,6.07,5,3.93
0.41,1.42,2.58,1.63,1.9,2.92,3.4,5.01,2.28,4.2,3.38,3.92,1.66,5.8,5,3.92
0.4,1.5,2.57,1.67,1.9,2.92,3.4,5.02,2.28,4.2,3.38,3.92,1.69,5.72,5,3.89
0.4,1.97,2.55,1.65,1.9,2.92,3.41,5.02,2.28,4.2,3.38,3.93,1.69,5.75,5,3.87
0.4,2.24,2.55,1.62,1.9,2.92,3.41,5.02,2.28,4.2,3.38,3.93,1.67,5.76,5,3.86
0.41,2.25,2.6,1.6,1.9,2.93,3.41,5.02,2.28,4.2,3.38,3.93,1.66,5.78,5,3.85
0.41,2.23,2.59,1.62,1.9,2.93,3.42,5.03,2.29,4.2,3.38,3.93,1.66,5.78,5,3.86
0.41,2.22,2.56,1.67,1.9,2.93,3.42,5.03,2.29,5.48,3.39,3.94,1.65,5.79,5.01,3.92
0.4,2.21,2.56,1.65,1.9,2.93,3.42,5.03,2.29,6.69,3.39,3.94,1.64,5.79,5.01,3.94
0.4,2.2,2.58,1.62,1.9,2.93,3.43,5.03,2.29,6.8,3.39,3.94,1.63,5.79,5.01,3.92
0.41,2.18,2.61,1.61,1.9,2.93,3.43,5.03,2.29,6.79,3.39,3.95,1.63,5.79,5.02,3.9
0.41,2.17,2.6,1.66,1.9,2.93,3.44,5.03,2.29,6.78,3.39,3.95,1.62,5.78,5.03,3.89
0.41,2.16,2.57,1.69,1.9,2.93,3.44,5.04,2.29,6.77,3.39,3.95,1.68,5.9,5.04,3.86
0.41,2.13,2.58,1.66,1.9,2.93,3.5,4.52,2.29,6.72,3.4,3.95,1.67,6.04,5.04,3.87
0.41,2.12,2.62,1.63,1.9,2.93,3.73,1.63,2.3,6.49,3.4,3.95,1.66,6.05,5.05,3.92
0.41,2.11,2.61,1.62,1.9,2.93,4.06,0.61,2.3,6.35,3.4,3.95,1.66,6.04,5.06,3.95
0.41,2.11,2.59,1.66,1.9,2.93,4.21,0.83,2.3,6.36,3.4,3.96,1.65,6.03,5.07,3.93
0.41,2.11,2.57,1.67,1.9,2.93,4.21,0.81,2.3,6.37,3.4,3.96,1.64,6.01,5.08,3.91
0.41,2.11,2.58,1.65,1.89,2.93,4.18,0.79,2.3,6.38,3.41,3.96,1.64,5.99,5.09,3.9
0.41,2.15,2.62,1.63,1.89,2.93,4.16,0.76,2.3,6.38,3.41,3.96,1.68,5.98,5.09,3.89
0.41,2.2,2.62,1.66,1.89,2.93,4.16,0.75,2.3,6.38,3.41,3.96,1.7,5.97,5.08,3.88
0.42,2.2,2.6,1.71,1.89,2.93,4.17,0.71,2.3,6.38,3.41,3.97,1.69,5.96,5.08,3.93
0.42,2.18,2.59,1.69,1.89,2.93,4.18,0.7,2.3,6.38,3.41,3.97,1.68,5.95,5.08,3.97
0.41,2.16,2.63,1.66,1.89,2.93,4.19,0.69,2.31,6.38,3.42,3.97,1.67,5.94,5.07,3.97
0.41,2.15,2.63,1.63,1.89,2.93,4.2,0.68,2.31,6.38,3.42,3.97,1.67,5.93,5.07,4.22
0.42,2.14,2.61,1.69,1.89,2.93,4.2,0.67,2.31,6.38,3.42,3.97,1.66,5.93,5.07,4.75
0.42,2.14,2.59,1.7,1.89,2.94,4.2,0.66,2.31,6.38,3.42,3.97,1.65,5.92,5.06,5.12
0.42,2.2,2.58,1.67,1.89,2.94,4.21,0.65,2.31,6.38,3.42,3.98,1.64,5.91,5.06,5.2
0.41,2.23,2.61,1.64,1.89,2.94,4.21,0.64,2.31,6.39,3.42,3.98,1.65,5.9,5.06,5.19
0.41,2.21,2.64,1.64,1.89,2.94,4.21,0.64,2.31,6.39,3.43,3.98,1.68,5.89,5.06,5.18
0.41,2.19,2.61,1.69,1.89,2.95,4.22,0.62,2.31,6.39,3.43,3.98,1.68,5.88,5.07,5.17
0.42,2.18,2.59,1.71,1.89,3.11,4.22,0.62,2.31,6.4,3.43,3.98,1.68,5.87,5.08,5.17
0.41,2.16,2.61,1.69,1.89,4.05,4.22,0.61,2.31,6.4,3.43,3.98,1.67,5.86,5.08,5.17
0.41,2.15,2.64,1.66,1.89,4.67,4.21,0.61,2.31,6.41,3.43,3.98,1.67,5.85,5.09,5.17
0.41,2.15,2.64,1.76,1.89,4.7,4.21,0.6,2.31,6.41,3.43,3.99,1.66,5.85,5.1,5.17
0.41,2.2,2.62,2.13,1.89,4.7,4.21,0.6,2.31,6.41,3.44,3.99,1.66,5.84,5.04,5.16
0.42,2.22,2.6,2.47,2.05,4.69,4.22,0.59,2.31,6.41,3.44,3.99,1.65,5.84,3.81,5.18
0.42,2.21,2.61,2.54,2.51,4.58,4.22,0.59,2.31,6.41,3.44,3.99,1.65,5.84,1.49,5.31
0.42,2.2,2.64,2.52,2.5,4.4,4.22,0.59,2.32,6.41,3.48,3.99,1.65,5.83,0.67,5.29
