Weight_up_n4,Weight_dp_n4,Weight_dn_n4,Weight_un_n4,Weight_up_n6,Weight_dp_n6,Weight_dn_n6,Weight_un_n6,Weight_up_n8,Weight_dp_n8,Weight_dn_n8,Weight_un_n8,Weight_up_n10,Weight_dp_n10,Weight_dn_n10,Weight_un_n10
0.42,2.18,2.63,2.49,2.49,4.35,4.22,0.58,2.32,6.41,3.69,3.99,1.65,5.83,0.54,5.27
0.42,2.16,2.61,2.47,2.48,4.35,4.22,0.57,2.33,6.41,4.06,4,1.65,5.91,0.48,5.26
0.41,2.16,2.66,2.45,2.44,4.35,4.23,0.57,2.51,6.42,4.25,4,1.69,6.04,0.43,5.25
0.41,2.17,2.81,2.46,2.35,4.35,4.23,0.57,2.87,6.42,4.27,4,1.74,6.06,0.4,5.25
0.42,2.19,2.97,2.57,2.32,4.35,4.23,0.57,2.95,6.42,4.25,4,1.73,6.05,0.36,5.24
0.42,2.19,3.07,2.54,2.33,4.35,4.24,0.56,2.94,6.42,4.22,4,1.72,6.04,0.34,5.23
0.42,2.18,3.12,2.51,2.34,4.36,4.24,0.56,2.94,6.42,4.16,4,1.71,6.03,0.32,5.26
0.42,2.17,3.14,2.49,2.34,4.36,4.25,0.56,2.93,6.42,3.57,4,1.7,6.01,0.31,5.34
0.41,2.22,3.17,2.52,2.34,4.36,4.25,0.55,2.89,6.42,3.6,4,1.68,6,0.3,5.32
0.42,2.25,3.19,2.57,2.34,4.36,4.25,0.55,2.79,6.42,3.65,4,1.68,6,0.29,5.31
0.42,2.24,3.2,2.57,2.34,4.36,4.26,0.55,2.8,6.42,3.69,4,1.67,5.99,0.28,5.3
0.42,2.23,3.2,2.54,2.34,4.36,4.26,0.54,2.8,6.43,3.73,4.01,1.66,5.98,0.27,5.29
0.42,2.21,3.21,2.52,2.34,4.36,4.26,0.54,2.8,6.43,3.76,4.24,1.65,5.97,0.25,5.28
0.41,2.2,3.21,2.57,2.34,4.36,4.27,0.51,2.81,6.43,3.78,4.62,1.65,5.96,0.24,5.27
0.42,2.19,3.2,2.6,2.34,4.36,4.27,0.3,2.81,6.43,3.81,4.93,1.67,5.95,0.24,5.28
0.42,2.18,3.2,2.57,2.34,4.37,4.28,0.17,2.81,6.43,3.83,5.1,1.73,5.95,0.23,5.35
0.42,2.17,3.19,2.54,2.34,4.37,4.28,0.36,2.81,6.43,3.86,5.19,1.73,5.93,0.22,5.36
0.42,2.21,3.19,2.52,2.34,4.37,4.28,0.3,2.81,6.43,3.88,5.24,1.72,5.92,0.22,5.34
0.41,2.21,3.19,2.54,2.33,4.37,4.29,0.19,2.82,6.43,3.9,5.28,1.71,5.91,0.21,5.32
0.42,2.2,3.19,2.59,2.33,4.37,4.29,0.16,2.82,6.43,3.91,5.31,1.7,5.9,0.21,5.32
0.42,2.2,3.2,2.6,2.33,4.37,4.29,0.17,2.82,6.43,3.92,5.32,1.69,5.89,0.2,5.31
0.42,2.19,3.2,2.54,2.33,4.37,4.3,0.19,2.82,6.43,3.94,5.33,1.68,5.88,0.19,5.29
0.42,2.18,3.2,2.52,2.33,4.37,4.3,0.19,2.82,6.44,3.95,5.33,1.67,5.88,0.19,5.29
0.42,2.17,3.21,2.56,2.34,4.37,4.3,0.2,2.82,6.44,3.96,5.34,1.67,5.87,0.19,5.31
0.42,2.18,3.21,2.61,2.34,4.37,4.31,0.2,2.82,6.47,3.99,5.35,1.66,5.86,0.18,5.39
0.42,2.23,3.22,2.6,2.34,4.37,4.31,0.21,2.83,7.24,4,5.35,2.15,5.87,0.18,5.37
0.42,2.25,3.22,2.57,2.33,4.37,4.31,0.21,2.83,8.59,4.02,5.35,2.43,6,0.18,5.35
0.41,2.24,3.22,2.54,2.33,4.37,4.32,0.21,2.83,8.86,4.03,5.36,2.42,6.09,0.17,5.34
0.42,2.23,3.22,2.54,2.33,4.38,4.32,0.21,2.83,8.85,4.03,5.36,2.41,6.08,0.17,5.33
0.43,2.22,3.23,2.62,2.33,4.38,4.32,0.21,2.83,8.84,4.04,5.37,2.39,6.07,0.16,5.32
0.42,2.2,3.23,2.59,2.33,4.38,4.32,0.22,2.83,8.62,4.05,5.37,2.37,6.06,0.16,5.31
0.42,2.19,3.23,2.56,2.33,4.38,4.33,0.22,2.83,8.21,4.06,5.37,2.36,6.05,0.16,5.31
0.42,2.18,3.23,2.54,2.33,4.39,4.33,0.22,2.83,8.14,4.07,5.38,2.35,6.04,0.16,5.36
0.42,2.2,3.23,2.57,2.33,4.39,4.34,0.22,2.84,8.17,4.08,5.38,2.33,6.03,0.15,5.4
0.43,2.26,3.24,2.61,2.33,4.39,4.4,0.22,2.84,8.18,4.09,5.38,2.32,6.02,0.15,5.38
0.42,2.25,3.24,2.61,2.33,4.39,4.58,0.22,2.84,8.19,4.1,5.38,2.31,6.01,0.15,5.36
0.47,2.23,3.24,2.57,2.33,4.39,4.77,0.23,2.84,8.22,4.11,5.39,2.3,6,0.15,5.35
0.58,2.22,3.24,2.55,2.33,4.39,4.9,0.23,2.84,8.23,4.11,5.39,2.29,5.99,0.14,5.34
0.6,2.21,3.24,2.61,2.33,4.39,4.96,0.23,2.84,8.24,4.12,5.39,2.29,5.98,0.14,5.33
0.6,2.21,3.24,2.62,2.33,4.39,5.02,0.23,2.84,8.24,4.12,5.39,2.28,5.97,0.14,5.32
0.59,2.63,3.25,2.59,2.33,4.39,5.04,0.23,2.84,8.25,4.13,5.4,2.28,5.97,0.14,5.36
0.59,3.38,3.25,2.56,2.33,4.39,5.05,0.23,2.84,8.25,4.14,5.4,2.29,5.96,0.13,5.42
0.59,3.52,3.25,2.55,2.33,4.39,5.05,0.23,2.84,8.26,4.15,5.4,2.29,5.94,0.13,5.4
0.59,3.46,3.25,2.59,2.33,4.39,5.05,0.23,2.84,8.26,4.16,5.4,2.33,5.93,0.18,5.38
0.6,3.44,3.25,2.63,2.33,4.39,5.06,0.23,2.85,8.27,4.16,5.4,2.33,5.92,0.52,5.37
0.6,3.41,3.25,2.61,2.33,4.39,5.06,0.24,2.85,8.28,4.17,5.4,2.32,5.91,1.2,5.36
0.6,3.39,3.26,2.56,2.33,4.39,5.06,0.24,2.85,8.28,4.17,5.41,2.31,5.91,1.45,5.34
0.61,3.37,3.26,2.57,2.33,4.39,5.07,0.24,2.85,8.29,4.18,5.41,2.31,5.9,1.43,5.33
0.61,3.35,3.26,2.63,2.33,4.39,5.07,0.24,2.85,8.29,4.19,5.41,2.35,5.89,1.33,5.36
0.61,3.33,3.26,2.63,2.33,4.4,5.07,0.24,2.85,8.3,4.19,5.41,2.36,5.88,1.25,5.42
0.61,3.31,3.26,2.68,2.33,4.39,5.07,0.24,2.85,8.3,4.2,5.41,2.35,5.87,1.26,5.41
0.6,3.28,3.26,2.87,2.33,4.4,5.08,0.55,2.85,8.3,4.21,5.42,2.33,5.9,1.27,5.39
0.6,3.28,3.26,3.1,2.32,4.4,5.08,1.19,2.85,8.31,4.21,5.42,2.32,6.09,1.28,5.38
0.61,3.28,3.27,3.25,2.32,4.4,5.08,1.47,2.85,8.31,4.22,5.42,2.31,6.21,1.28,5.37
0.61,3.28,3.27,3.32,2.32,4.4,5.08,1.47,2.86,8.32,4.23,5.42,2.31,6.2,1.29,5.35
0.61,3.34,3.27,3.36,2.35,4.4,5.09,1.39,2.86,8.32,4.23,5.42,2.32,6.19,1.29,5.34
0.61,3.38,3.27,3.37,2.65,4.4,5.09,1.26,2.86,8.32,4.24,5.43,2.32,6.16,1.3,5.38
0.62,3.37,3.27,3.38,2.92,4.4,5.09,1.24,2.86,8.33,4.24,5.43,2.32,6.14,1.32,5.43
0.61,3.35,3.27,3.39,2.91,4.4,5.09,1.26,2.86,8.33,4.25,5.43,2.32,6.11,1.32,5.41
0.61,3.33,3.26,3.4,2.9,4.4,5.09,1.29,2.86,8.33,4.26,5.43,2.31,6.08,1.31,5.4
0.61,3.33,2.8,3.4,2.89,4.4,5.1,1.31,2.86,8.34,4.26,5.43,2.32,6.07,1.31,5.38
0.61,3.38,1.37,3.4,2.81,4.4,5.1,1.35,2.86,8.34,4.27,5.43,2.37,6.06,1.31,5.37
0.62,3.38,0.65,3.41,2.76,4.4,5.1,1.38,2.86,8.35,4.28,5.43,2.39,6.05,1.3,5.36
0.61,3.36,0.55,3.41,2.77,4.4,5.1,1.37,2.86,8.35,4.28,5.43,2.38,6.04,1.3,5.35
0.61,3.34,0.51,3.41,2.77,4.4,5.1,1.36,2.86,8.35,4.29,5.44,2.37,6.03,1.3,5.37
0.62,3.32,0.49,3.41,2.77,4.4,5.11,1.35,2.86,8.35,4.29,5.44,2.36,6.02,1.3,5.51
0.62,3.34,0.47,3.41,2.77,4.4,5.11,1.35,2.87,8.36,4.3,5.44,2.35,6.29,1.3,5.86
0.61,3.41,0.46,3.41,2.77,4.4,5.11,1.35,2.87,8.36,4.31,5.44,2.34,8.86,1.29,6.53
0.61,3.39,0.44,3.41,2.77,4.4,5.12,1.36,2.87,8.37,4.31,5.44,2.32,8.87,1.29,6.65
0.62,3.37,0.43,3.41,2.77,4.4,5.12,1.36,2.87,8.38,4.36,4.94,2.31,8.83,1.31,6.71
0.62,3.35,0.42,3.41,2.77,4.53,5.12,1.36,2.87,8.38,4.53,2.07,2.35,8.8,1.32,6.75
0.62,3.33,0.42,3.42,2.77,5.56,5.12,1.36,2.87,8.39,4.77,0.19,2.38,8.77,1.32,6.78
0.61,3.32,0.41,3.42,2.77,6.39,5.13,1.36,2.87,8.39,4.94,0.41,2.37,8.61,1.31,6.81
0.62,3.35,0.4,3.42,2.77,6.44,5.13,1.36,2.87,8.39,5.04,0.4,2.36,8.21,1.31,6.82
0.62,3.38,0.4,3.42,2.77,6.42,5.13,1.36,2.88,8.39,5.1,0.38,2.35,8.07,1.31,6.84
0.63,3.36,0.4,3.42,2.77,6.41,5.13,1.36,3.03,8.4,5.18,0.37,2.34,8.1,1.31,6.83
0.62,3.34,0.39,3.42,2.77,6.33,5.14,1.37,3.4,8.4,5.21,0.35,2.32,8.15,1.3,6.81
0.62,3.37,0.39,3.42,2.77,6.13,5.14,1.37,3.49,8.52,5.23,0.34,2.35,8.15,1.3,6.8
0.62,3.42,0.38,3.42,2.77,6.06,5.14,1.37,3.47,9.88,5.25,0.33,2.37,8.15,1.3,6.79
0.62,3.4,0.42,3.42,2.77,6.06,5.15,1.37,3.47,11.4,5.27,0.32,2.36,8.16,1.3,6.78
0.62,3.38,0.64,3.42,2.77,6.07,5.15,1.37,3.41,11.36,5.28,0.32,2.35,8.16,1.3,6.78
0.62,3.36,0.94,3.42,2.77,6.07,5.15,1.37,3.33,11.34,5.3,0.3,2.34,8.16,1.31,6.78
0.63,3.34,1,3.43,2.77,6.07,5.16,1.37,3.34,11.22,5.31,0.3,2.33,8.15,1.32,6.78
0.62,3.33,0.98,3.43,2.77,6.08,5.16,1.37,3.35,10.82,5.33,0.29,2.32,8.15,1.32,6.79
0.62,3.38,0.97,3.43,2.77,6.08,5.16,1.37,3.35,10.67,5.36,0.29,2.32,8.23,1.32,6.81
0.62,3.41,0.91,3.43,2.77,6.09,5.16,1.38,3.35,10.68,5.37,0.28,2.33,8.3,1.31,6.82
0.63,3.39,0.9,3.43,2.77,6.09,5.16,1.38,3.35,10.69,5.38,0.28,2.33,8.32,1.31,6.83
0.62,3.37,0.9,3.43,2.77,6.09,5.17,1.38,3.35,10.69,5.39,0.27,2.35,8.32,1.31,6.84
0.62,3.35,0.9,3.43,2.77,6.1,5.17,1.38,3.36,10.7,5.4,0.27,2.4,8.32,1.3,6.85
0.63,3.35,0.94,3.43,2.77,6.1,5.15,1.38,3.36,10.71,5.41,0.26,2.4,8.32,1.3,6.87
0.63,3.39,0.96,3.44,2.77,6.1,2.3,1.39,3.36,10.72,5.42,0.26,2.39,8.31,1.29,6.88
0.62,3.4,0.94,3.44,2.77,6.1,1.35,1.5,3.36,10.73,5.43,0.26,2.38,8.31,1.29,6.89
0.62,3.39,0.93,3.44,2.77,6.11,1.21,2,3.36,10.74,5.45,0.25,2.36,8.3,1.29,6.9
0.62,3.37,0.92,3.44,2.77,6.11,1.15,2.57,3.36,10.74,5.46,0.25,2.36,8.29,1.29,6.9
0.63,3.35,0.92,3.44,2.77,6.11,1.11,2.7,3.37,10.75,5.46,0.25,2.33,8.29,1.3,6.9
0.63,3.36,0.95,3.44,2.77,6.12,1.08,2.64,3.37,10.75,5.47,0.25,2.32,8.28,1.32,6.89
0.62,3.36,0.95,3.44,2.77,6.12,1.06,2.53,3.37,10.76,5.48,0.24,2.35,8.28,1.38,6.88
0.62,3.36,0.93,3.44,2.77,6.12,1.04,2.51,3.37,10.76,5.48,0.24,2.4,8.28,1.79,6.87
0.63,3.35,0.92,3.44,2.77,6.12,1.02,2.53,3.37,10.77,5.49,0.24,2.39,8.28,2.5,6.87
0.63,3.34,0.91,3.44,2.77,6.13,0.99,2.54,3.37,10.77,5.49,0.23,2.38,8.28,2.5,6.86
0.62,3.35,0.91,3.44,2.77,6.13,0.98,2.56,3.38,10.77,5.5,0.23,2.37,8.28,2.42,6.86
0.62,3.42,0.94,3.44,2.77,6.13,0.97,2.58,3.38,10.78,5.51,0.23,2.36,8.28,2.32,6.85
0.63,3.45,0.93,3.44,2.77,6.13,0.97,2.66,3.38,10.78,5.51,0.23,2.34,8.28,2.31,6.86
0.63,3.43,0.92,3.44,2.77,6.14,0.96,2.66,3.38,10.78,5.52,0.23,2.33,8.28,2.33,6.86
0.63,3.41,0.91,3.44,2.77,6.14,0.95,2.64,3.38,10.79,5.52,0.22,2.36,8.28,2.34,6.87
0.62,3.39,0.91,3.45,2.77,6.14,0.94,2.64,3.38,10.79,5.53,0.22,2.42,8.28,2.35,6.88
0.63,3.37,0.94,3.45,2.77,6.14,0.93,2.64,3.38,10.8,5.53,0.22,2.72,8.28,2.43,6.88
0.63,3.35,0.94,3.45,2.77,6.14,0.93,2.64,3.38,10.8,5.53,0.22,3.08,8.29,2.43,6.89
0.63,3.36,0.93,3.45,2.76,6.15,0.92,2.65,3.38,10.8,5.54,0.22,3.1,8.29,2.42,6.9
0.63,3.4,0.92,3.45,2.76,6.15,0.91,2.65,3.39,10.81,5.54,0.21,3.08,8.29,2.41,6.9
0.62,3.4,0.91,3.45,2.76,6.15,0.9,2.65,3.39,10.81,5.55,0.21,3.06,8.29,2.4,6.92
0.63,3.38,0.94,3.45,2.76,6.15,0.9,2.65,3.39,10.81,5.55,0.21,3.03,8.29,2.4,6.92
0.63,3.43,0.94,3.45,2.76,6.15,0.9,2.65,3.39,10.82,5.55,0.21,3.02,8.29,2.4,6.93
0.63,3.56,0.93,3.45,2.76,6.16,0.89,2.65,3.39,10.82,5.56,0.13,3,8.29,2.4,6.93
0.63,4.37,0.91,3.45,2.76,6.16,0.89,2.65,3.39,10.82,5.56,0.24,2.99,8.29,2.41,6.94
0.63,4.93,0.9,3.45,2.76,6.16,0.88,2.66,3.39,10.83,5.56,0.66,2.98,8.29,2.41,6.94
0.68,4.92,0.91,3.45,2.76,6.16,0.88,2.66,3.39,10.83,5.57,0.64,2.97,8.3,2.41,6.94
0.73,4.89,0.94,3.45,2.76,6.16,0.87,2.66,3.39,10.83,5.57,0.57,2.96,8.3,2.41,6.94
0.74,4.85,0.94,3.45,2.76,6.16,0.87,2.66,3.39,10.84,5.57,0.49,2.95,8.3,2.41,6.94
0.74,4.78,0.91,3.45,2.76,6.16,0.87,2.66,3.39,10.84,5.58,0.48,2.95,8.3,2.41,6.93
0.74,4.76,0.9,3.45,2.76,6.17,0.87,2.66,3.4,10.84,5.58,0.49,2.95,8.3,2.41,6.93
0.73,4.73,0.92,3.45,2.76,6.17,0.86,2.66,3.4,10.84,5.58,0.51,2.96,8.3,2.44,6.93
0.73,4.71,0.94,3.45,2.76,6.17,0.86,2.66,3.4,10.85,5.59,0.51,2.99,8.3,2.45,6.92
0.74,4.7,0.93,0.91,2.76,6.17,0.86,2.66,3.4,10.85,5.59,0.51,3,8.3,2.44,6.92
0.74,4.7,0.92,0.91,2.76,6.17,0.85,2.67,3.4,10.86,5.59,0.52,2.98,8.3,2.43,6.92
0.74,4.73,0.91,1.14,2.76,6.17,0.85,2.67,3.41,10.87,5.59,0.52,2.97,8.3,2.43,6.92
0.74,4.83,0.9,1.12,2.76,6.18,0.85,2.67,3.42,10.88,5.6,0.53,2.99,8.31,2.42,6.92
0.74,4.85,0.92,1.1,2.76,6.18,0.84,2.67,3.66,10.88,5.6,0.53,3.04,8.31,2.42,6.92
0.75,4.79,0.93,1.08,2.76,6.18,0.84,2.7,3.97,10.88,5.6,0.54,3.03,8.31,2.42,6.92
0.74,4.77,0.92,1.06,2.76,6.18,0.84,2.89,4,10.89,5.61,0.54,3.01,8.31,2.42,6.92
0.74,4.74,0.91,1.04,2.76,6.18,0.84,3.37,3.99,10.89,5.61,0.54,3,8.31,2.42,6.92
0.75,4.74,0.9,1.01,2.76,6.18,0.89,3.76,3.99,10.89,5.61,0.54,2.99,8.58,2.42,6.92
0.74,4.79,0.92,0.99,2.76,6.18,1.21,3.84,3.98,10.9,5.61,0.54,2.97,10.25,2.45,6.93
0.74,4.81,0.94,0.98,2.76,6.18,1.87,3.84,3.93,10.9,5.62,0.54,2.97,11.27,2.46,6.93
0.75,4.78,0.93,0.97,2.76,6.19,1.86,3.81,3.89,10.97,5.62,0.55,3.01,11.25,2.46,6.93
0.75,4.75,0.92,0.96,2.77,6.19,1.83,3.76,3.9,12.02,4.92,0.55,3.02,11.19,2.45,6.94
0.76,4.76,0.9,0.94,3,6.19,1.74,3.77,3.91,13.36,2.67,0.55,3.01,11.13,2.44,6.94
0.75,4.81,0.92,0.93,3.34,6.19,1.71,3.78,3.91,13.5,1.46,0.55,2.99,10.96,2.44,6.94
0.75,4.79,0.94,0.92,3.37,6.2,1.72,3.79,3.92,13.48,1.28,0.55,3,10.63,2.43,6.95
0.76,4.78,0.93,0.92,3.35,6.2,1.73,3.8,3.92,13.44,1.22,0.55,3.05,10.54,2.43,6.95
0.75,4.83,0.92,0.9,3.34,6.2,1.73,3.81,3.92,13.2,1.18,0.55,3.05,10.55,2.43,6.95
0.75,4.85,0.9,0.89,3.31,6.2,1.74,3.81,3.93,12.94,1.15,0.55,3.03,10.56,2.43,6.96
0.75,4.83,0.9,0.89,3.22,6.2,1.74,3.82,3.93,12.94,1.12,0.55,3.02,10.58,2.48,6.96
0.75,4.8,0.92,0.88,3.2,6.2,1.74,3.83,3.93,12.99,1.1,0.55,3.01,10.57,2.62,6.96
0.75,4.77,0.94,0.87,3.21,6.2,1.75,3.85,3.93,13.02,1.07,0.55,2.99,10.59,2.78,5.06
0.75,4.83,1.11,0.87,3.21,6.2,1.75,3.87,3.93,13.03,1.05,0.55,3,10.6,2.92,0.8
0.75,4.85,1.42,0.86,3.21,6.2,1.75,3.86,3.93,13.04,1.04,0.55,3.05,10.6,2.95,0.84
0.75,4.83,1.52,0.85,3.21,6.21,1.75,3.86,3.94,13.05,1.03,0.55,3.05,10.6,2.92,0.96
0.74,4.8,1.51,0.84,3.21,6.21,1.75,3.86,3.94,13.06,1.02,0.55,3.03,10.61,2.86,0.96
0.74,4.78,1.49,0.84,3.21,6.21,1.75,3.86,3.94,13.07,1.01,0.55,3.02,10.61,2.87,0.95
0.75,4.8,1.46,0.83,3.21,6.21,1.75,3.86,3.94,13.08,1.01,0.56,3.01,10.68,2.89,0.94
0.75,4.88,1.44,0.83,3.21,6.21,1.75,3.86,3.94,13.09,1,0.56,2.99,10.84,2.9,0.92
0.74,4.87,1.43,0.83,3.21,6.26,1.75,3.86,3.95,13.09,0.98,0.56,2.99,10.86,2.92,0.9
0.75,4.84,1.43,0.82,3.21,7.05,1.75,3.87,3.95,13.1,0.98,0.56,3.02,10.83,2.98,0.87
0.75,4.79,1.49,0.82,3.21,8.24,1.75,3.87,3.95,13.11,0.97,0.56,3.05,10.81,3.01,0.85
0.75,4.77,1.51,0.81,3.21,8.42,1.75,3.87,3.95,13.11,0.97,0.56,3.04,10.8,3,0.84
0.75,4.81,1.49,0.81,3.21,8.41,1.75,3.87,3.95,13.12,0.96,0.56,3.02,10.79,2.99,0.83
0.75,4.87,1.47,0.8,3.21,8.4,1.75,3.87,3.96,13.13,0.95,0.56,3.01,10.77,2.99,0.81
0.75,4.86,1.46,0.8,3.21,8.37,1.75,3.87,3.96,13.13,0.95,0.56,3,10.76,2.99,0.8
0.75,4.83,1.47,0.8,3.21,8.09,1.75,3.87,3.96,13.14,0.95,0.56,2.99,10.75,3,0.79
0.75,4.8,1.51,0.79,3.21,7.84,1.76,3.87,3.96,13.14,0.94,0.56,3.01,10.74,3,0.78
0.75,4.78,1.51,0.79,3.21,7.86,1.76,3.88,3.96,13.15,0.93,0.56,3.03,10.71,3,0.77
0.75,4.9,1.47,0.79,3.21,7.88,1.76,3.88,3.97,13.16,0.93,0.56,3.03,10.7,3.01,0.75
0.75,4.91,1.47,0.78,3.21,7.89,1.76,3.88,3.97,13.18,0.93,0.56,3.02,10.69,3.01,0.75
0.75,4.88,1.5,0.78,3.21,7.9,1.76,3.88,3.97,13.18,0.92,0.56,3.01,10.67,3.01,0.74
0.75,4.85,1.51,0.78,3.21,7.91,1.76,3.88,3.97,13.19,0.92,0.56,3.01,10.66,3.01,0.73
0.74,4.83,1.49,0.77,3.21,7.92,1.76,3.88,3.97,13.2,0.92,0.56,3.04,10.65,3.02,0.73
0.75,4.8,1.48,0.77,3.21,7.92,1.76,3.89,3.98,13.2,0.91,0.56,3.07,10.68,3.05,0.72
0.75,4.78,1.48,0.77,3.21,7.93,1.76,3.94,3.98,13.21,0.91,0.57,3.06,10.86,3.06,0.71
0.75,4.79,1.51,0.75,3.21,7.94,1.76,4.16,3.98,13.21,0.9,0.56,3.05,10.96,3.05,0.71
0.74,4.84,1.5,0.64,3.21,7.95,1.76,4.49,3.98,13.21,0.9,0.56,3.04,10.92,3.05,0.66
0.75,4.8,1.48,0.31,3.21,7.95,1.76,4.83,3.98,13.22,0.9,0.56,3.01,10.89,3.04,0.4
0.75,4.83,1.48,0.14,3.21,7.96,1.76,4.88,3.98,13.22,0.9,0.57,3,10.87,3.04,0.23
0.75,4.9,1.51,0.15,3.21,7.97,1.76,4.92,3.98,13.23,0.89,0.57,3.02,10.85,3.04,0.54
0.76,4.89,1.51,0.19,3.21,7.99,1.76,4.95,3.61,13.23,0.9,0.57,3.06,10.84,3.04,0.55
0.75,4.86,1.5,0.24,3.21,7.99,1.76,4.97,1.93,13.23,1.03,0.57,3.06,10.83,3.04,0.51
0.76,4.84,1.48,0.26,3.21,8,1.76,4.97,0.84,13.23,1.56,0.57,3.04,10.81,3.05,0.37
0.76,4.81,1.49,0.25,3.21,8,1.76,4.98,0.67,13.24,1.99,0.57,3.03,10.8,3.07,0.29
0.75,4.79,1.52,0.25,3.21,8.01,1.76,4.98,0.6,13.24,2.02,0.57,3.02,10.77,3.08,0.3
0.75,4.86,1.5,0.21,3.21,8.02,1.76,4.99,0.56,13.24,1.93,0.57,3.01,10.76,3.08,0.32
0.75,4.84,1.49,0.16,3.21,8.02,1.76,4.99,0.53,13.25,1.85,0.57,3.05,10.74,3.07,0.35
0.75,4.81,1.49,0.17,3.21,8.02,1.76,4.99,0.48,13.25,1.85,0.57,3.05,10.73,3.07,0.41
0.75,4.83,1.52,0.19,3.21,8.03,1.76,5,0.46,13.26,1.87,0.57,3.04,10.72,3.07,0.44
0.76,4.91,1.52,0.21,3.21,8.03,1.76,5,0.45,13.26,1.88,0.57,3.02,10.72,3.06,0.42
0.76,4.91,1.5,0.21,3.21,8.03,1.76,5,0.43,13.26,1.88,0.57,3.01,10.71,3.06,0.4
0.75,4.88,1.49,0.19,3.21,8.04,1.76,5,0.42,13.26,1.89,0.57,3.03,10.7,3.06,0.39
0.74,4.86,1.49,0.15,3.21,8.04,1.77,5.01,0.41,13.27,1.89,0.57,3.07,10.7,3.07,0.38
0.75,4.83,1.52,0.16,3.21,8.05,1.92,5.01,0.4,13.27,1.89,0.58,3.06,10.92,3.09,0.38
0.76,4.81,1.5,0.18,3.21,8.05,2.39,5.01,0.39,13.27,1.89,0.74,3.03,10.92,3.11,0.38
0.75,4.86,1.49,0.19,3.21,8.05,2.67,5.01,0.38,13.27,1.89,1.21,3.02,10.91,3.1,0.38
0.75,4.87,1.49,0.2,3.21,8.06,2.69,5.01,0.37,13.28,1.89,1.5,3.01,10.89,3.09,0.38
0.76,4.87,1.52,0.15,3.21,8.06,2.68,5.02,0.36,13.28,1.89,1.52,3.01,10.88,3.09,0.4
0.75,4.85,1.53,0.14,3.21,8.06,2.61,5.02,0.35,13.28,1.89,1.41,3.03,10.86,3.08,0.44
0.75,4.84,1.51,0.16,3.21,8.07,2.57,5.02,0.35,13.29,1.89,1.36,3.04,10.85,3.08,0.45
0.76,4.82,1.49,0.18,3.21,8.07,2.58,5.02,0.34,13.29,1.89,1.37,3.17,10.84,3.08,0.43
0.76,4.81,1.49,0.19,3.21,8.08,2.6,5.02,0.34,13.29,1.89,1.38,3.63,10.81,3.13,0.41
0.8,5.55,1.53,0.19,3.21,8.08,2.6,5.03,0.34,13.29,1.89,1.39,3.8,10.79,3.41,0.4
0.93,6.58,1.51,0.15,3.21,8.08,2.62,5.03,0.33,13.29,1.89,1.4,3.74,10.78,3.82,0.4
0.96,6.67,1.5,0.13,3.21,8.08,2.65,5.03,0.32,13.3,1.89,1.41,3.72,10.77,4.02,0.4
0.95,6.61,1.49,0.15,3.21,8.08,2.65,5.03,0.32,11.34,1.89,1.44,3.71,10.75,4.04,0.4
0.95,6.55,1.52,0.18,3.21,8.09,2.65,5.03,0.31,4.33,1.9,1.46,3.69,10.74,4.04,0.42
0.94,6.5,1.54,0.18,3.21,8.09,2.64,5.03,0.31,0.85,1.89,1.44,3.65,10.73,4.03,0.46
0.93,6.46,1.52,0.16,3.21,8.09,2.64,5.03,0.31,0.55,1.9,1.44,3.6,10.77,4.03,0.45
0.93,6.36,1.5,0.13,3.21,8.1,2.65,5.03,0.31,0.47,1.9,1.44,3.6,10.9,4.03,0.44
0.94,6.26,1.5,0.14,3.21,8.1,2.65,5.04,0.3,0.41,1.9,1.44,3.6,10.93,4.03,0.43
0.95,6.24,1.54,0.15,3.21,8.1,2.65,5.04,0.3,0.38,1.89,1.44,3.65,10.92,4.04,0.41
0.95,6.23,1.59,0.17,3.21,8.1,2.65,5.04,0.3,0.35,1.9,1.44,3.66,10.9,4.04,0.41
0.94,6.27,1.82,0.18,3.21,8.11,2.65,5.04,0.29,0.31,1.9,1.45,3.64,10.89,4.05,0.4
0.96,6.34,2.05,0.13,3.21,8.11,2.65,4.84,0.29,0.29,1.9,1.45,3.63,10.87,4.05,0.41
0.97,6.32,2.09,0.13,3.21,8.11,2.66,2.63,0.29,0.28,1.9,1.45,3.63,10.86,4.06,0.45
0.96,6.29,2.07,0.15,3.21,8.11,2.66,0.3,0.28,0.26,1.9,1.45,3.65,10.84,4.08,0.47
0.95,6.27,2.05,0.16,3.21,8.11,2.66,0.89,0.28,0.25,1.9,1.45,3.67,10.83,4.11,0.45
0.96,6.31,2.04,0.17,3.12,8.12,2.66,0.89,0.28,0.24,1.89,1.45,3.66,10.8,4.11,0.44
0.97,6.32,2.03,0.16,2.04,8.12,2.66,0.85,0.28,0.23,1.89,1.45,3.64,10.79,4.11,0.42
0.96,6.29,2.08,0.12,0.51,8.12,2.66,0.83,0.27,0.22,1.89,1.45,3.68,10.77,4.1,0.42
0.95,6.31,2.1,0.11,0.18,8.12,2.66,0.82,0.49,0.21,1.9,1.45,3.68,10.76,4.1,0.41
0.96,6.34,2.08,0.13,0.14,8.12,2.66,0.8,0.87,0.2,1.9,1.46,3.67,10.75,4.1,0.41
