Weight_dn21.1,Weight_dn21.2,Weight_dn21.3,Weight_un21.1,Weight_un21.3,Weight_dp21.1,Weight_dp21.2,Weight_dp21.3,Weight_up21.1,Weight_up21.2,Weight_up21.3,Weight_un21.2
2.42,2.37,1.26,1.16,1.83,2.55,2.34,2.29,0.81,0.57,0.52,0.77
2.45,2.62,1.26,1.17,1.83,2.55,2.34,2.29,0.82,0.57,0.51,0.77
2.48,2.61,1.26,1.17,1.84,2.55,2.34,2.29,0.82,0.57,0.51,0.77
2.47,2.54,1.27,1.18,1.84,2.55,2.34,2.29,0.82,0.57,0.51,0.77
2.46,2.41,1.29,1.18,1.84,2.56,2.34,2.29,0.82,0.57,0.52,0.77
2.46,2.39,1.61,1.21,1.84,2.56,2.4,2.29,0.82,0.57,0.52,0.77
2.45,2.41,2.29,1.63,1.85,2.56,3.43,2.29,0.82,0.57,0.52,0.77
2.45,2.42,2.55,2.64,1.85,2.56,4.93,2.29,0.82,0.57,0.52,0.77
2.46,2.44,2.54,3.17,1.85,2.56,5.14,2.29,0.82,0.57,0.52,0.77
2.46,2.47,2.49,3.26,1.85,2.56,5.12,2.29,0.82,0.57,0.51,0.79
2.46,2.5,2.37,3.09,1.85,2.56,5.09,2.29,0.82,0.57,0.52,1.68
2.46,2.5,2.33,3.04,1.86,2.56,5.07,2.29,0.82,0.57,0.51,2.09
2.46,2.49,2.35,3.08,1.86,2.57,5.05,2.29,0.82,0.57,0.51,2.22
2.46,2.48,2.38,3.12,1.86,3.19,5.05,2.29,0.82,0.57,0.51,2.2
2.46,2.48,2.39,3.15,1.86,4.79,4.95,2.29,0.82,0.57,0.51,2.07
2.46,2.48,2.41,3.19,1.87,5.25,4.68,2.29,0.82,0.57,0.51,2.05
2.46,2.48,2.44,3.26,1.87,5.26,4.5,2.32,0.82,0.57,0.51,2.08
2.46,2.48,2.45,3.32,1.87,5.25,4.49,4.87,0.82,0.57,0.51,2.12
2.46,2.48,2.44,3.33,1.87,5.23,4.52,5.2,0.82,0.57,0.56,2.19
2.46,2.48,2.43,3.32,1.87,5.22,4.54,5.18,0.82,0.57,1.2,2.27
2.46,2.48,2.43,3.32,1.88,5.23,4.55,5.16,0.82,0.71,1.21,2.29
2.46,2.49,2.43,3.33,1.89,5.22,4.56,5.13,0.82,1.16,1.2,2.28
2.46,2.49,2.43,3.34,3.13,5.11,4.56,5.12,0.82,1.32,1.19,2.27
2.46,2.49,2.43,3.34,3.81,4.86,4.56,5.11,0.82,1.3,1.19,2.27
2.46,2.49,2.43,3.35,3.88,4.75,4.57,5.02,0.82,1.29,1.18,2.28
