Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
1.23,4.32,2.07,4.26,3.41,,5.59,20.91,25.28,9.33,0.2,13.06,1.87,4.86,0.88,4.8,4.95,8.67,26.22,2.59,4.2,0.99,6.76,19.95,4.78
1.23,4.32,2.07,4.26,3.41,,5.58,20.91,25.28,9.34,0.2,13.06,1.9,4.87,0.91,4.81,4.94,8.67,26.22,2.59,4.2,0.98,6.76,19.96,4.78
1.23,4.33,2.07,4.26,3.41,,5.59,20.91,25.28,9.34,0.2,13.06,1.91,5.44,0.94,4.8,4.93,8.68,26.22,2.58,4.2,0.98,6.76,19.96,4.79
1.24,4.33,2.07,4.26,3.41,,5.67,20.91,25.28,9.34,0.2,13.07,1.89,6.69,0.93,4.78,4.95,8.68,26.22,2.58,4.2,0.8,6.76,19.96,4.78
1.24,4.34,2.07,4.27,3.41,,6.45,20.91,25.28,9.34,0.2,13.07,1.88,6.93,0.91,4.74,4.96,8.68,26.22,2.57,4.2,0.12,6.76,19.96,4.79
1.24,4.34,2.07,4.27,3.41,,7.11,20.91,25.28,9.35,0.2,13.07,1.87,6.89,0.9,4.73,4.98,8.68,26.22,2.56,4.2,0.54,6.76,19.97,4.79
1.24,4.35,2.08,4.27,3.41,,7.15,20.91,25.28,9.35,0.2,13.08,1.88,6.86,0.9,4.74,5.01,8.68,26.23,2.56,4.2,0.64,6.76,19.97,4.79
1.24,4.35,2.08,4.27,3.41,,7.13,20.91,25.28,9.35,0.19,13.08,1.89,6.85,0.9,4.76,5.02,8.68,26.25,2.55,4.2,0.59,6.76,19.97,4.79
1.24,4.36,2.08,4.27,3.41,,7.11,20.91,25.28,9.35,0.19,13.08,1.89,6.78,0.9,4.77,5.03,8.68,26.26,2.55,4.2,0.42,6.76,19.97,4.79
1.24,4.36,2.08,4.27,3.41,,7.1,20.91,25.28,9.36,0.19,13.09,1.92,6.56,0.9,4.79,5.02,8.68,26.26,2.56,4.2,0.27,6.76,19.97,4.79
1.24,4.37,2.08,4.27,3.42,,7.07,20.91,25.28,9.36,0.19,13.09,1.91,6.45,0.89,4.81,4.99,8.68,26.26,2.56,4.2,0.27,6.76,19.98,4.79
1.24,4.37,2.08,4.27,3.42,,6.94,20.91,25.28,9.36,0.19,13.09,1.9,6.46,0.89,4.82,4.97,8.68,26.26,2.56,4.2,0.3,6.76,19.98,4.79
1.24,4.37,2.08,4.27,3.42,,6.88,20.91,25.28,9.37,0.19,13.09,1.89,6.48,0.89,4.8,4.95,8.68,26.26,2.56,4.2,0.33,6.76,19.98,4.79
1.24,4.37,2.08,4.28,3.42,,6.88,20.91,25.28,9.37,0.19,13.09,1.88,6.47,0.93,4.59,4.94,8.69,26.26,2.57,4.2,0.34,6.76,19.98,4.79
1.24,4.38,2.08,4.28,3.42,,6.88,20.91,25.28,9.38,0.19,13.1,1.89,6.48,0.93,2.64,4.95,8.69,26.26,2.57,4.2,0.36,6.76,19.98,4.79
1.24,4.38,1.99,4.28,3.42,,6.88,20.91,25.28,9.38,0.19,13.1,1.9,6.48,0.92,0.25,4.98,8.69,26.26,2.57,4.2,0.39,6.76,20.04,4.79
1.24,4.38,1.31,4.28,3.42,,6.89,20.91,25.28,9.38,0.19,13.1,1.89,6.48,0.91,0.86,5,8.69,26.26,2.57,4.2,0.4,6.76,21.38,4.79
1.24,4.38,0.54,4.28,3.42,,6.9,20.91,25.28,9.39,0.19,13.11,1.9,6.48,0.9,0.81,5.01,8.7,26.27,2.57,4.2,0.4,6.76,23.85,4.8
1.24,4.39,0.36,4.28,3.42,,6.9,20.91,25.31,9.39,0.19,13.11,1.9,6.48,0.9,0.76,5.02,8.7,26.29,2.57,4.2,0.39,6.76,24.28,4.8
1.24,4.39,0.33,4.28,3.42,,6.9,20.92,25.32,9.4,0.18,13.12,1.89,6.48,0.9,0.72,5.03,8.71,26.29,2.58,4.2,0.38,6.76,24.16,4.8
1.24,4.39,0.3,4.28,3.42,,6.91,20.92,25.31,9.4,0.18,13.12,1.88,6.52,0.89,0.68,5.02,8.71,26.29,2.58,4.2,0.39,6.76,23.92,4.8
1.28,4.39,0.29,4.28,3.42,,6.91,20.92,25.31,9.4,0.18,13.13,1.91,6.54,0.89,0.65,4.85,8.71,26.29,2.58,4.2,0.39,6.76,23.25,4.8
1.43,4.4,0.28,4.28,3.42,,6.91,20.92,25.31,9.41,0.18,13.14,1.92,6.54,0.92,0.61,2.92,8.71,26.29,2.58,4.2,0.39,6.76,23.06,4.8
1.47,4.4,0.26,4.28,3.42,,6.91,20.92,25.31,9.42,0.18,13.15,1.91,6.54,0.93,0.59,0.71,8.71,26.29,2.58,4.2,0.39,6.76,23.14,4.8
1.47,4.4,0.25,4.29,3.43,,6.91,20.92,25.31,9.42,0.18,13.16,1.9,6.54,0.92,0.58,0.67,8.71,26.29,2.58,4.2,0.4,6.76,23.19,4.8
1.47,4.41,0.24,4.29,3.43,,6.91,20.93,25.31,9.42,0.18,13.17,2.22,6.54,0.91,0.56,0.63,8.71,26.29,2.58,4.2,0.4,6.76,23.21,4.8
1.46,4.41,0.24,4.29,3.43,,6.91,20.93,25.31,9.42,0.18,13.18,2.34,6.53,0.91,0.55,0.6,8.71,26.29,2.58,4.2,0.4,6.76,23.22,4.8
1.43,4.42,0.23,4.29,3.43,,6.92,20.94,25.31,9.42,0.18,13.18,2.32,6.53,0.9,0.54,0.57,8.71,26.29,2.58,4.2,0.41,6.76,23.23,4.8
1.41,4.42,0.23,4.29,3.43,,6.92,20.96,25.31,9.43,0.18,13.18,2.31,6.53,0.9,0.53,0.54,8.71,26.29,2.58,4.2,0.41,6.76,23.25,4.8
1.42,4.42,0.22,4.29,3.43,,6.92,20.97,25.31,9.43,0.18,13.18,2.29,6.53,0.9,0.52,0.52,8.71,26.29,2.59,4.2,0.41,6.76,23.25,4.8
1.42,4.42,0.22,4.29,3.43,,6.93,20.97,25.31,9.43,0.18,13.18,2.28,6.53,0.89,0.5,0.51,8.71,26.29,2.6,4.2,0.41,6.76,23.26,4.8
1.42,4.43,0.21,4.29,3.43,,6.93,20.97,25.31,9.43,0.18,13.18,2.26,6.53,0.89,0.49,0.47,8.71,26.28,2.85,4.2,0.41,6.44,23.29,4.8
1.42,4.43,0.21,4.29,3.43,,6.93,20.97,25.31,9.43,0.17,13.18,2.25,6.53,0.9,0.48,0.46,8.71,26.29,4.27,4.2,0.42,4.32,23.3,4.8
1.42,4.43,0.2,4.29,3.43,,6.93,20.97,25.31,9.44,0.17,13.18,2.25,6.53,0.92,0.47,0.45,8.71,26.29,6.2,4.2,0.42,2.27,23.3,4.81
1.42,4.43,0.2,4.29,3.43,,6.93,20.97,25.31,9.44,0.17,13.18,2.28,6.53,0.92,0.47,0.44,8.72,26.29,6.75,4.19,0.42,1.85,23.31,4.81
1.42,4.43,0.2,4.29,3.43,,6.93,20.97,25.31,9.44,0.17,13.18,2.27,6.53,0.91,0.46,0.43,8.73,26.29,6.64,4.2,0.42,1.71,23.31,4.81
1.42,4.44,0.19,4.29,3.43,,6.94,20.97,25.3,9.44,0.17,13.18,2.27,6.53,0.9,0.45,0.42,9.27,26.29,6.2,4.2,0.42,1.67,23.32,4.81
1.42,4.44,0.19,4.29,3.43,,6.94,20.97,25.31,9.44,0.17,13.18,2.28,6.53,0.9,0.45,0.41,10.32,26.29,5.87,4.19,0.42,1.64,23.33,4.81
1.42,4.44,0.19,4.3,3.43,,6.94,20.97,25.39,9.44,0.17,13.18,2.28,6.53,0.89,0.44,0.4,10.51,26.29,5.86,4.2,0.43,1.62,23.34,4.81
1.42,4.44,0.19,4.3,3.43,,6.94,20.97,26.83,9.45,,13.18,2.27,6.53,0.89,0.43,0.39,10.49,26.29,5.95,4.2,0.43,1.6,23.34,4.81
1.42,4.44,0.19,4.3,3.43,,6.94,20.97,29.72,9.46,,13.18,2.28,6.53,0.9,0.43,0.38,10.46,26.28,6.03,4.2,0.43,1.58,23.35,4.82
1.43,4.44,0.18,4.3,3.43,,6.94,20.97,30.24,9.46,,13.18,2.29,6.53,0.92,0.42,0.37,10.33,26.28,6.21,4.2,0.43,1.57,23.36,4.82
1.43,4.45,0.18,4.3,3.44,,6.94,20.97,30.12,9.47,,13.18,2.28,6.53,0.92,0.42,0.36,10.07,26.28,6.28,4.19,0.43,1.55,23.36,4.82
1.43,4.45,0.18,4.3,3.44,,6.94,20.97,30.04,9.48,,13.18,2.27,6.53,0.91,0.42,0.36,10.03,26.28,6.24,4.23,0.43,1.53,23.36,4.82
1.43,4.45,0.17,4.3,3.44,,6.94,20.97,29.94,9.49,,13.18,2.3,6.54,0.9,0.41,0.35,10.07,26.28,6.21,4.69,0.43,1.52,23.37,4.82
1.43,4.45,0.17,4.3,3.44,,6.94,20.97,29.41,9.5,,13.18,2.31,6.54,0.9,0.41,0.35,10.08,26.28,6.2,5.54,0.43,1.51,23.38,4.82
1.43,4.45,0.17,4.3,3.44,,6.94,20.97,28.99,9.51,,13.18,2.29,6.54,0.89,0.4,0.34,10.09,26.28,6.16,5.87,0.44,1.5,23.38,4.82
1.43,4.45,0.17,4.3,3.44,,6.95,20.97,29.01,9.52,,13.18,2.28,6.54,0.89,0.4,0.33,10.11,26.27,6.08,5.86,0.44,1.49,23.41,4.82
1.43,4.46,0.17,4.3,3.44,,6.95,20.97,29.02,9.53,,13.18,2.28,6.54,0.9,0.39,0.33,10.12,26.27,6.09,5.73,0.44,1.48,23.42,4.82
1.43,4.46,0.16,4.1,3.44,,6.95,20.97,29.04,9.54,,13.18,2.3,6.54,0.92,0.39,0.32,10.13,26.27,6.11,5.59,0.44,1.48,23.43,4.95
1.43,4.46,0.16,2.36,3.44,,6.95,20.97,29.06,9.55,,13.18,2.29,6.54,0.92,0.39,0.32,10.13,26.27,6.13,5.6,0.44,1.47,23.43,4.88
1.43,4.46,0.16,0.38,3.44,,6.95,20.97,29.06,9.56,,13.18,2.28,6.54,0.91,0.38,0.31,10.14,26.27,6.14,5.62,0.44,1.46,23.44,4.74
1.43,4.46,0.16,0.15,3.44,,6.95,20.97,29.07,9.57,,13.18,2.32,6.54,0.9,0.38,0.31,10.14,26.27,6.15,5.63,0.44,1.5,23.44,4.78
1.43,4.47,0.16,0.17,3.46,,6.95,20.97,29.07,9.58,,13.18,2.31,6.54,0.9,0.38,0.31,10.15,26.27,6.15,5.67,0.44,1.84,23.45,4.81
1.43,4.47,0.16,0.18,3.54,,6.95,20.97,29.07,9.58,,13.18,2.29,6.54,0.91,0.38,0.3,10.15,26.26,6.15,5.72,0.45,2.58,23.45,4.82
1.43,4.47,0.23,0.2,3.75,,6.95,20.98,29.07,9.59,,13.18,2.29,6.54,1.16,0.37,0.3,10.15,26.27,6.16,5.73,0.45,2.9,23.46,4.74
1.43,4.47,0.48,0.2,3.97,,6.96,20.99,29.07,9.6,,13.18,2.3,6.54,1.94,0.37,0.3,10.15,26.27,6.16,5.71,0.45,2.9,23.46,4.65
1.43,4.47,0.68,0.21,2.59,,6.96,21.01,29.07,9.61,,13.18,2.3,6.54,1.93,0.37,0.29,10.16,26.27,6.17,5.7,0.45,2.82,23.47,4.65
1.43,4.47,0.7,0.21,4.22,,6.96,21.01,29.07,9.62,,13.18,2.3,6.54,1.9,0.36,0.28,10.16,26.43,6.17,5.69,0.45,2.66,23.47,4.68
1.43,4.47,0.66,0.22,4.24,,6.96,21.01,29.07,9.62,,13.18,2.31,6.54,1.81,0.36,0.28,10.17,26.58,6.17,5.7,0.45,2.62,23.47,4.69
1.43,4.47,0.62,0.22,4.24,,6.96,21.01,29.07,9.63,,13.18,2.3,6.54,1.78,0.35,0.28,10.18,26.65,6.17,5.7,0.45,2.63,23.47,4.71
1.43,4.48,0.62,0.22,4.25,,6.96,21.01,29.07,9.63,,13.18,2.29,6.54,1.78,0.22,0.28,10.18,26.68,6.17,5.7,0.45,2.65,23.48,4.72
1.43,4.48,0.63,0.23,4.25,,6.97,21.01,29.09,9.64,,13.18,2.31,6.54,1.79,0.24,0.27,10.19,26.68,6.17,5.7,0.45,2.65,23.48,4.73
1.43,4.48,0.63,0.23,4.25,,6.97,21.01,29.1,9.64,,13.18,2.33,6.54,1.81,0.23,0.27,10.19,26.68,6.18,5.7,0.45,2.65,23.48,4.73
1.44,4.48,0.63,0.23,4.25,,6.97,21.01,29.1,9.65,,13.18,2.32,6.54,1.85,0.17,0.27,10.19,26.68,6.18,5.7,0.46,2.65,23.49,4.74
1.43,4.48,0.64,0.23,4.26,,6.97,21.01,29.1,9.65,,13.18,2.3,6.54,1.87,0.12,0.27,10.19,26.67,6.18,5.7,0.65,2.66,23.49,4.75
1.44,4.48,0.64,0.23,4.26,,6.97,24.98,29.1,9.66,,10.46,2.29,6.54,1.86,0.11,0.26,10.2,26.67,6.19,5.7,1.53,2.65,23.49,4.75
1.44,4.48,0.64,0.23,4.26,,6.97,26.1,29.1,9.66,,2.69,2.31,6.54,1.85,0.12,0.26,10.2,26.67,6.19,5.7,2.46,2.65,23.5,4.77
1.44,4.48,0.64,0.23,4.26,,6.97,26.01,29.1,9.67,,0.93,2.33,6.54,1.84,0.12,0.26,10.2,26.67,6.19,5.7,2.66,2.65,23.5,4.77
1.44,4.48,0.64,0.22,4.26,,6.97,25.93,29.1,9.67,,1.26,2.3,6.54,1.84,0.15,0.25,10.21,26.66,6.19,5.7,2.58,2.65,23.5,4.78
1.44,4.49,0.64,0.22,4.26,,6.97,25.88,29.1,9.67,,1.3,2.29,6.54,1.84,0.2,0.25,10.22,26.66,6.19,5.7,2.33,2.65,23.5,4.78
1.44,4.49,0.64,0.22,4.27,,6.97,25.71,29.1,9.68,,1.3,2.31,6.54,1.84,0.19,0.25,10.22,26.66,6.19,5.7,2.21,2.65,23.51,4.79
1.44,4.49,0.64,0.22,4.27,,6.97,25.08,29.1,9.68,,1.28,2.33,6.55,1.84,0.18,0.25,10.22,26.66,6.19,5.71,2.27,2.65,23.52,4.79
1.44,4.49,0.64,0.22,4.27,,6.97,24.78,29.1,9.68,,1.27,2.32,6.69,1.84,0.16,0.24,10.22,26.66,6.19,5.71,2.29,2.65,23.51,4.8
1.44,4.49,0.64,0.22,4.27,,6.97,24.95,29.1,9.69,,1.25,2.3,6.79,1.85,0.15,0.24,10.22,26.66,6.19,5.71,2.33,2.65,20.86,4.8
1.44,4.49,0.64,0.21,4.27,,6.98,24.97,29.1,9.69,,1.2,2.3,6.77,1.88,0.15,0.24,10.22,26.66,6.19,5.71,2.43,2.65,8.88,4.81
1.44,4.49,0.64,0.21,4.27,,6.98,24.98,29.11,9.69,,1.18,2.32,6.75,1.88,0.15,0.24,10.23,26.65,6.2,5.71,2.49,2.65,1.33,4.81
1.44,4.49,0.64,0.21,4.28,,6.98,24.98,29.13,9.7,,1.16,2.31,6.72,1.87,0.18,0.23,10.23,26.65,6.2,5.71,2.47,2.65,0.44,4.82
1.44,4.49,0.64,0.21,4.28,,6.98,24.98,29.14,9.7,,1.14,2.32,6.7,1.86,0.2,0.23,10.23,26.65,6.2,5.71,2.45,2.64,0.19,4.82
1.44,4.5,0.64,0.21,4.28,,6.98,24.99,29.14,9.69,,1.12,2.32,6.68,1.85,0.19,0.23,10.23,26.65,6.2,5.71,2.45,2.64,0.16,4.82
1.44,4.51,0.64,0.2,4.28,,6.98,24.99,29.14,8.92,,1.1,2.31,6.67,1.85,0.18,0.23,10.23,26.64,6.2,5.71,2.45,2.64,0.23,4.83
1.44,4.84,0.64,0.2,4.28,,6.98,25,29.14,4.65,,1.09,2.3,6.66,1.85,0.17,0.23,10.23,26.64,6.2,5.71,2.43,2.64,0.29,4.83
1.44,5.43,0.64,0.2,4.28,,6.99,25,29.14,1.05,,1.07,2.32,6.63,1.85,0.16,0.23,10.23,26.64,6.2,5.71,2.42,2.64,0.34,4.84
1.44,5.55,0.64,0.2,4.28,,6.99,25,29.16,0.36,,1.04,2.32,6.62,1.87,0.17,0.22,10.24,26.64,6.2,5.71,2.42,2.64,0.38,4.84
1.44,5.56,0.64,0.2,4.28,,6.99,25.02,29.17,0.3,,1.03,2.31,6.62,1.89,0.21,0.22,10.24,26.64,6.2,5.71,2.43,2.64,0.42,4.85
1.44,5.56,0.64,0.19,4.28,,6.99,25.04,29.17,0.26,,1.02,2.33,6.61,1.89,0.21,0.22,10.24,26.63,6.2,5.71,2.44,2.64,0.46,4.85
1.44,5.55,0.64,0.19,4.28,,7.59,25.04,29.17,0.22,,1,2.31,6.6,1.88,0.19,0.22,10.24,26.63,6.21,5.71,2.44,2.64,0.49,4.85
1.44,5.38,0.64,0.19,4.28,,8.48,25.04,29.17,0.19,,0.99,2.33,6.59,1.87,0.18,0.22,10.24,26.63,6.22,5.71,2.45,2.63,0.54,4.85
1.42,5.39,0.64,0.19,4.29,,8.6,25.04,29.17,0.17,,0.98,2.34,6.58,1.86,0.17,0.22,10.24,26.63,6.61,5.71,2.45,2.63,0.57,4.86
0.39,5.4,0.64,0.18,4.29,,8.57,25.04,29.17,0.15,,0.97,2.33,6.57,1.86,0.17,0.21,10.24,26.62,8.11,5.71,2.46,2.63,0.59,4.86
0.2,5.41,0.64,0.18,4.29,,8.55,25.04,29.16,0.13,,0.96,2.32,6.56,1.86,0.21,0.21,10.25,26.62,9.59,5.71,2.47,2.63,0.61,4.86
0.17,5.42,0.64,0.18,4.29,,8.55,25.04,29.16,0.12,,0.95,2.31,6.54,1.86,0.21,0.21,10.25,26.62,9.87,5.71,2.47,2.63,0.62,4.87
0.15,5.42,0.64,0.18,4.29,,8.46,25.05,29.16,0.18,,0.93,2.33,6.55,1.89,0.2,0.21,10.25,26.62,9.52,5.71,2.47,2.64,0.64,4.87
0.14,5.42,0.64,0.18,4.29,,8.27,25.05,29.16,1.24,,0.92,2.34,6.56,1.89,0.19,0.21,10.25,26.62,9.22,5.71,2.47,2.86,0.66,4.88
0.13,5.43,0.64,0.18,4.29,,8.23,25.05,29.16,2.35,,0.91,2.33,6.55,1.88,0.18,0.21,10.25,26.61,9.21,5.71,2.48,3.47,0.67,4.88
0.12,5.44,0.64,0.17,4.29,,8.26,25.05,29.16,2.48,,0.9,2.33,6.54,1.87,0.17,0.2,10.25,26.61,9.25,5.71,2.48,3.83,0.69,4.89
0.12,5.45,0.64,0.17,4.29,,8.27,25.05,29.16,2.3,,0.9,2.34,6.54,1.87,0.18,0.2,10.25,26.64,9.29,5.71,2.48,3.75,0.71,4.89
0.11,5.45,0.64,0.17,4.29,,8.28,25.05,29.16,2.11,,0.89,2.33,6.54,1.86,0.21,0.2,10.25,28.07,9.31,5.71,2.48,3.63,0.73,4.89
0.1,5.45,0.64,0.17,4.29,,8.29,25.05,29.16,2.09,,0.88,2.32,6.53,1.86,0.22,0.2,10.25,31.82,9.39,5.71,2.48,3.62,0.74,4.89
0.1,5.46,0.64,0.17,4.29,,8.29,25.05,29.16,2.12,,0.87,2.33,6.53,1.86,0.2,0.2,10.26,32.75,9.61,5.71,2.49,3.63,0.75,4.9
0.2,5.46,0.64,0.16,4.3,,8.29,25.05,29.16,2.14,,0.87,2.35,6.67,1.89,0.19,,10.26,32.61,9.68,5.71,2.49,3.65,0.76,4.9
0.28,5.46,0.64,0.16,4.3,,8.29,25.05,29.16,2.15,,0.85,2.34,6.73,1.9,0.18,,10.27,32.43,9.65,5.71,2.49,3.66,0.77,4.9
0.29,5.47,0.64,0.16,4.3,,8.29,25.06,29.16,2.15,,0.85,2.33,6.72,1.88,0.18,,10.32,31.96,9.59,5.71,2.49,3.68,0.78,4.9
0.29,5.47,0.64,0.16,4.3,,8.3,25.06,29.15,2.15,,0.84,2.31,6.7,1.88,0.21,,10.41,31.15,9.5,5.71,2.49,3.71,0.79,4.91
0.28,5.47,0.64,0.16,4.3,,8.3,25.07,29.15,2.15,,0.83,2.35,6.69,1.87,0.23,,10.42,31.05,9.48,5.71,2.5,3.71,0.8,4.91
0.28,5.48,0.64,0.16,4.3,,8.3,25.09,29.15,2.15,,0.83,2.34,6.68,1.87,0.22,,10.42,31.12,9.49,5.71,2.5,3.7,0.81,4.91
0.28,5.48,0.64,0.16,4.3,,8.3,25.09,29.15,2.16,,0.82,2.32,6.66,1.86,0.2,,10.42,31.17,9.51,5.71,2.5,3.7,0.81,4.91
0.28,5.48,0.64,0.15,4.3,,8.3,25.09,29.12,2.16,,0.82,2.33,6.65,1.86,0.19,,10.42,31.19,9.54,5.71,2.5,3.7,0.57,4.92
0.28,5.48,0.64,0.15,4.3,,8.31,25.09,25.92,2.16,,0.81,2.35,6.64,1.89,0.18,,10.41,31.19,9.57,5.71,2.51,3.7,1.47,4.92
0.28,5.49,0.64,0.15,4.3,,8.31,25.09,11.51,2.16,,0.8,2.34,6.63,1.9,0.21,,10.41,31.19,9.58,5.71,2.51,3.7,3.28,4.92
0.28,5.49,0.64,0.15,4.3,,8.31,25.09,2.45,2.16,,0.8,2.32,6.62,1.89,0.23,,10.41,31.19,9.58,5.71,2.51,3.7,3.44,4.92
0.28,5.49,0.64,0.15,4.3,,8.31,25.09,1.5,2.16,,0.79,2.32,6.61,1.88,0.22,,10.41,31.19,9.59,5.71,2.51,3.7,3.44,4.93
0.27,5.49,0.64,0.15,4.3,,8.31,25.09,1.3,2.16,,0.79,2.34,6.6,1.87,0.21,,10.41,31.19,9.59,5.71,2.51,3.7,3.42,4.93
0.26,5.5,0.64,0.15,4.3,,8.31,25.09,1.16,2.16,,0.78,2.32,6.59,1.87,0.2,,10.41,31.2,9.59,5.72,2.51,3.7,3.37,4.93
0.25,5.5,0.64,0.15,4.3,,8.31,25.09,1.07,2.16,,0.78,2.34,6.58,1.87,0.19,,10.41,31.22,9.6,5.86,2.51,3.7,3.37,4.93
0.24,5.5,0.64,0.14,4.3,,8.31,25.09,0.99,2.16,,0.77,2.5,6.57,1.86,0.19,,10.41,31.22,9.6,6.43,2.52,3.7,3.37,4.93
0.24,5.5,0.64,0.14,4.3,,8.32,25.09,0.87,2.16,,0.77,2.75,6.56,1.86,0.24,,10.41,31.22,9.6,7.06,2.52,3.7,3.36,4.93
0.24,5.51,0.64,0.14,4.3,,8.33,25.09,0.83,2.16,,0.76,2.78,6.55,1.9,0.23,,10.41,31.22,9.61,7.22,2.52,3.7,3.23,4.94
0.25,5.51,0.64,0.14,4.31,,8.33,25.09,0.79,2.16,,0.76,2.76,6.54,1.9,0.21,,10.41,31.22,9.61,7.22,2.52,3.7,2.88,4.94
0.25,5.51,0.64,0.14,4.31,,8.33,25.09,0.75,2.16,,0.75,2.74,6.61,1.88,0.2,,10.42,31.22,9.62,7.03,2.52,3.7,2.55,4.94
0.24,5.51,0.64,0.14,4.31,,8.33,25.1,0.72,2.16,,0.75,2.72,6.73,1.88,0.2,,10.42,31.22,9.62,7.02,2.52,3.7,2.43,4.94
0.25,5.52,0.64,0.14,4.31,,8.33,25.1,0.69,2.16,,0.74,2.69,7.46,1.87,0.19,,10.42,31.22,9.64,7.03,2.52,3.7,2.42,4.95
0.25,5.52,0.66,0.14,4.31,,8.33,25.1,0.66,2.16,,0.74,2.68,8.56,1.87,0.21,,10.42,31.22,9.65,7.05,2.52,3.7,2.44,4.96
0.25,5.52,0.82,0.14,4.31,,8.34,25.1,0.64,2.17,,0.74,2.68,8.69,1.87,0.24,,10.42,31.22,9.67,7.06,2.52,3.7,2.47,4.96
0.25,5.52,1.04,0.13,4.31,,8.34,25.1,0.62,2.17,,0.73,2.7,8.65,1.86,0.23,,10.42,31.24,9.68,7.09,2.53,3.7,2.47,4.96
0.25,5.53,1.09,0.13,4.31,,8.34,25.1,0.58,2.17,,0.73,2.73,8.61,1.88,0.21,,10.42,31.25,9.68,7.16,2.53,3.7,2.47,4.96
0.25,5.53,1.09,0.13,4.31,,8.34,25.1,0.56,2.17,,0.72,2.71,8.56,1.91,0.2,,10.42,31.25,9.67,7.19,2.53,3.7,2.47,4.96
0.25,5.53,1.03,0.13,4.31,,8.34,25.1,0.55,2.17,,0.72,2.7,8.5,1.89,0.2,,10.53,31.25,9.67,7.18,2.53,3.7,2.47,4.96
0.25,5.53,1.03,0.13,4.31,,8.34,25.1,0.53,2.17,,0.72,2.7,8.31,1.88,0.22,,11.47,31.24,9.67,7.16,2.53,3.7,2.47,4.97
0.25,5.53,1.03,,4.31,,8.35,25.1,0.52,2.17,,0.71,2.72,8.23,1.88,0.24,,12.26,31.24,9.68,7.14,2.53,3.7,2.47,4.97
0.25,5.53,1.04,,4.31,,8.35,25.1,0.5,2.17,,0.71,2.71,8.23,1.88,0.24,,12.28,31.24,9.68,7.12,2.53,3.84,2.47,4.97
0.25,5.54,1.04,,4.31,,8.35,25.1,0.49,2.17,,0.71,2.72,8.24,2.02,0.39,,12.25,31.24,9.68,7.12,2.53,4.26,2.47,4.97
0.25,5.54,1.05,,4.31,,8.35,25.1,0.48,2.17,,0.7,2.71,8.25,2.47,0.8,,12.23,31.24,9.68,7.13,2.53,4.64,2.47,4.97
0.25,5.54,1.05,,4.31,,8.35,25.1,0.46,2.17,,0.7,2.73,8.25,2.78,1.04,,12.22,31.25,9.68,7.14,2.53,4.72,2.47,4.97
0.25,5.54,1.06,,4.31,,8.35,25.1,0.45,2.17,,0.7,2.73,8.25,2.79,1.02,,12.13,31.27,9.68,7.15,2.53,4.71,2.47,4.98
0.25,5.55,1.06,,4.31,,8.36,25.11,0.45,2.17,,0.69,2.71,8.26,2.73,0.95,,11.88,31.27,9.82,7.15,2.53,4.63,2.47,4.98
0.25,5.55,1.06,,4.32,,8.36,25.11,0.44,2.17,,0.69,2.72,8.25,2.68,0.9,,11.92,31.27,10.72,7.15,2.53,4.57,2.47,4.98
0.25,5.55,1.06,,4.32,,8.37,25.11,0.43,2.17,,0.68,2.74,8.25,2.68,0.9,,11.94,31.26,12.14,7.16,2.53,4.57,2.47,4.98
0.25,5.55,1.06,,4.32,,8.37,25.1,0.42,2.17,,0.68,2.71,8.25,2.69,0.89,,11.95,31.26,13.04,7.16,2.53,4.58,2.47,4.98
0.25,5.55,1.06,,4.32,,8.37,25.1,0.41,2.17,,0.68,2.72,8.25,2.69,0.9,,11.95,31.26,13.2,7.16,2.54,4.61,2.47,4.98
0.25,5.55,1.06,,4.32,,8.37,25.1,0.4,2.17,,0.68,2.75,8.37,2.69,0.98,,11.96,31.26,13.15,7.17,2.54,4.63,2.47,4.98
0.25,5.56,1.06,,4.32,,8.37,25.1,0.4,2.17,,0.68,2.74,8.48,2.74,1.06,,11.96,31.26,12.94,7.17,2.54,4.68,2.49,4.99
0.25,5.55,1.06,,4.32,,8.37,25.1,0.38,2.18,,0.68,2.72,8.48,2.79,1.01,,11.96,31.25,12.77,7.17,2.55,4.69,2.49,4.99
0.25,5.08,1.06,,4.32,,8.37,25.1,0.38,2.18,,0.67,2.71,8.43,2.77,0.99,,11.97,31.25,12.8,7.17,2.72,4.68,2.49,4.99
0.25,2.64,1.06,,4.32,,8.37,25.1,0.37,2.18,,0.52,2.74,8.41,2.76,0.98,,11.97,31.25,12.84,7.17,3.53,4.67,2.49,4.99
0.25,0.9,1.06,,4.32,,8.37,25.1,0.37,2.18,,0.33,2.75,8.39,2.76,0.97,,11.98,31.25,12.87,7.17,4.49,4.67,2.49,5.02
0.25,0.63,1.06,,4.32,,8.37,25.1,0.36,2.18,,1.54,2.74,8.38,2.76,1,,11.98,31.24,12.9,7.17,4.75,4.67,2.49,5.38
