Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un,Weight_1821up,Weight_1821dp,Weight_1821dn,Weight_1821un,Weight_1821un.3,Weight_1833up,Weight_1833dp,Weight_1833un,Weight_1833dn,Weight_1827un,Weight_1827dn,Weight_1827dp,Weight_1827up
0.22,0.5,0.49,0.35,0.3,0.3,1.75,3.65,4.21,3.31,2.06,1.65,0.57,1.5,1.27,0.44,0.43,1.88,5.14,2.49,1.85,1.07,1.39,2.84,0.11
0.22,0.5,0.5,0.32,0.3,0.3,1.74,3.65,4.21,3.39,2.06,1.65,0.56,1.5,1.3,0.45,0.43,1.88,5.14,2.49,1.85,1.07,1.39,2.84,0.11
0.22,0.5,0.5,0.29,0.31,0.3,1.74,3.65,4.21,3.43,2.06,1.65,0.56,1.5,1.31,0.44,0.46,1.88,5.15,2.5,1.85,1.07,1.39,2.84,0.11
0.22,0.5,0.5,0.3,0.31,0.3,1.74,3.65,4.21,3.46,2.06,1.65,0.55,1.56,1.3,0.43,0.47,1.89,5.15,2.5,1.85,1.07,1.39,2.84,0.11
0.22,0.5,0.5,0.3,0.31,0.3,1.74,3.65,4.21,3.49,2.06,1.65,0.55,1.68,1.29,0.42,0.45,1.89,5.15,2.51,1.86,1.07,1.4,2.84,0.11
0.22,0.5,0.5,0.31,0.31,0.3,1.73,3.65,4.22,3.57,2.06,1.65,0.54,1.71,1.28,0.41,0.44,1.89,5.17,2.51,1.86,1.07,1.4,2.84,0.11
0.22,0.5,0.5,0.31,0.31,0.3,1.69,3.65,4.22,3.6,2.07,1.65,0.53,1.7,1.27,0.44,0.43,1.89,5.2,2.51,1.86,1.07,1.4,2.85,0.12
0.22,0.5,0.5,0.31,0.31,0.3,1.45,3.65,4.22,3.6,2.07,1.65,0.53,1.7,1.27,0.45,0.43,1.89,5.2,2.52,1.87,1.07,1.4,2.85,0.12
0.22,0.5,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.6,2.07,1.65,0.56,1.69,1.27,0.44,0.45,1.89,5.2,2.52,1.87,1.07,1.4,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.65,4.22,3.6,2.07,1.65,0.58,1.68,1.28,0.43,0.47,1.89,5.2,2.52,1.87,1.07,1.4,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.61,2.07,1.65,0.58,1.67,1.31,0.42,0.46,1.89,5.2,2.52,1.87,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.3,1.42,3.65,4.22,3.61,2.08,1.66,0.57,1.65,1.32,0.42,0.45,1.9,5.21,2.52,1.87,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.65,4.22,3.62,2.08,1.66,0.57,1.64,1.31,0.44,0.44,1.9,5.21,2.52,1.88,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.66,4.23,3.62,2.08,1.66,0.56,1.63,1.29,0.45,0.43,1.89,5.21,2.53,1.88,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.69,4.23,3.63,2.08,1.66,0.56,1.63,1.28,0.44,0.46,1.9,5.21,2.53,1.88,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.42,3.69,4.23,3.63,2.09,1.66,0.55,1.62,1.28,0.43,0.47,1.9,5.21,2.53,1.88,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.43,3.69,4.23,3.63,2.09,1.66,0.54,1.62,1.28,0.42,0.46,1.9,5.21,2.54,1.89,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.31,0.31,0.31,1.43,3.69,4.23,3.64,2.09,1.66,0.54,1.61,1.28,0.41,0.45,1.9,5.21,2.54,1.89,1.07,1.41,2.85,0.12
0.22,0.51,0.51,0.32,0.31,0.31,1.43,3.69,4.24,3.64,2.09,1.66,0.54,1.61,1.27,0.42,0.44,1.9,5.22,2.54,1.89,1.07,1.42,2.85,0.12
0.22,0.51,0.51,0.32,0.31,0.31,1.43,3.69,4.26,3.64,2.09,1.66,0.57,1.61,1.29,0.44,0.43,1.9,5.22,2.54,1.89,1.07,1.42,2.85,0.22
0.22,0.51,0.52,0.32,0.31,0.31,1.44,3.7,4.27,3.65,2.09,1.66,0.59,1.6,1.32,0.45,0.43,1.9,5.22,2.54,1.89,1.07,1.42,2.85,1.16
