Weight_dn18.1,Weight_dn18.2,Weight_dn18.3,Weight_un18.1,Weight_un18.2,Weight_un18.3,Weight_dp18.1,Weight_dp18.2,Weight_dp18.3,Weight_up18.1,Weight_up18.2,Weight_up18.3
1.51,0.58,2.05,3,0.53,0.71,2.04,2.11,1.43,0.68,1.13,1.04
2.36,1.74,2.06,0.84,1.05,0.83,2.75,2.93,2.84,1.34,1.18,1.17
2.25,2.11,1.97,1.07,1.01,0.81,2.77,2.95,2.98,1.41,1.18,1.16
1.99,2.08,1.77,1.05,0.88,0.78,2.76,2.93,2.97,1.4,1.17,1.14
1.89,1.93,1.67,0.84,0.78,0.69,2.74,2.91,2.94,1.39,1.16,1.13
1.92,1.71,1.69,0.82,0.79,0.66,2.72,2.88,2.92,1.38,1.15,1.13
1.96,1.73,1.71,0.83,0.81,0.67,2.71,2.87,2.9,1.37,1.14,1.13
1.98,1.75,1.72,0.84,0.82,0.68,2.7,2.87,2.9,1.36,1.14,1.13
1.99,1.76,1.73,0.85,0.82,0.69,2.7,2.87,2.9,1.36,1.14,1.12
2.01,1.77,1.73,0.85,0.84,0.7,2.7,2.81,2.85,1.36,1.09,1.1
2.05,1.77,1.73,0.87,0.88,0.71,2.69,2.6,2.67,1.33,0.99,1.04
2.06,1.77,1.73,0.88,0.88,0.72,2.59,2.36,2.42,1.26,0.91,0.9
2.06,1.77,1.73,0.89,0.87,0.72,2.39,2.26,2.28,1.17,0.89,0.89
2.05,1.77,1.73,0.88,0.86,0.72,2.23,2.26,2.26,1.13,0.89,0.89
2.05,1.77,1.73,0.88,0.86,0.72,2.19,2.28,2.26,1.13,0.9,0.9
2.05,1.78,1.73,0.88,0.86,0.71,2.19,2.3,2.27,1.13,0.9,0.9
2.05,1.78,1.73,0.88,0.86,0.71,2.2,2.3,2.28,1.14,0.9,0.9
2.05,1.78,1.73,0.88,0.86,0.71,2.23,2.3,2.29,1.14,0.91,0.9
2.05,1.78,1.73,0.88,0.86,0.71,2.24,2.31,2.3,1.14,0.91,0.9
2.06,1.78,1.73,0.88,0.86,0.71,2.25,2.32,2.31,1.14,0.91,0.9
2.06,1.78,1.73,0.88,0.86,0.72,2.25,2.32,2.31,1.14,0.91,0.9
2.06,1.78,1.74,0.88,0.86,0.72,2.26,2.32,2.31,1.14,0.91,0.9
2.06,1.79,1.74,0.88,0.87,0.72,2.26,2.32,2.31,1.14,0.91,0.9
2.06,1.79,1.74,0.88,0.87,0.72,2.26,2.33,2.31,1.14,0.92,0.9
2.06,1.79,1.74,0.88,0.87,0.72,2.26,2.34,2.31,1.14,0.91,0.9
2.06,1.8,1.74,0.88,0.87,0.72,2.26,2.34,2.31,1.14,0.91,0.9
2.07,1.8,1.75,0.88,0.87,0.72,2.26,2.34,2.32,1.14,0.91,0.9
2.07,1.8,1.75,0.88,0.87,0.72,2.27,2.34,2.33,1.15,0.91,0.9
2.07,1.8,1.75,0.88,0.87,0.72,2.28,2.34,2.33,1.15,0.92,0.9
