Weight_dn15.1,Weight_dn15.2,Weight_dn15.3,Weight_un15.1,Weight_un15.2,Weight_un15.3,Weight_dp15.1,Weight_dp15.2,Weight_dp15.3,Weight_up15.1,Weight_up15.2,Weight_up15.3
0.67,1.26,0.63,1.05,0.84,0.86,8,1.42,0.64,46,0.72,5
2.02,2.11,2.21,1.24,1.24,1.27,1.85,2.86,2.31,1.46,1.31,0.62
1.94,2.14,2.17,1.22,1.19,1.29,1.85,2.85,2.81,1.46,1.3,1.23
1.88,1.98,2.03,1.14,1.04,1.24,1.85,2.84,2.82,1.46,1.29,1.23
1.71,1.82,1.81,1.01,0.97,1.1,1.84,2.82,2.79,1.46,1.28,1.23
1.65,1.82,1.76,0.98,0.99,1.02,1.83,2.8,2.78,1.46,1.27,1.22
1.69,1.85,1.8,1,1.01,1.06,1.83,2.8,2.76,1.46,1.27,1.21
1.72,1.87,1.82,1.01,1.02,1.07,1.82,2.8,2.76,1.46,1.27,1.2
1.74,1.88,1.84,1.02,1.02,1.07,1.81,2.8,2.76,1.46,1.27,1.2
1.76,1.89,1.85,1.03,1.03,1.08,1.81,2.61,2.76,1.46,1.26,1.19
1.76,1.89,1.86,1.04,1.05,1.11,1.8,2.37,2.75,1.46,1.13,1.19
1.77,1.9,1.86,1.05,1.07,1.13,1.8,2.23,2.71,1.46,1.03,1.19
1.78,1.91,1.86,1.06,1.07,1.13,1.79,2.21,2.34,1.46,0.99,1.18
1.78,1.91,1.87,1.05,1.06,1.12,2.02,2.21,2.24,1.46,0.99,1.18
1.79,1.91,1.87,1.05,1.06,1.11,2,2.21,2.23,1.46,1,1.18
1.8,1.91,1.87,1.05,1.06,1.11,1.99,2.22,2.24,1.47,1.01,1.16
1.81,1.92,1.88,1.05,1.06,1.11,1.97,2.22,2.26,1.47,1.01,1.11
1.82,1.92,1.88,1.05,1.06,1.11,1.96,2.22,2.27,1.47,1.02,1.04
1.83,1.92,1.88,1.05,1.06,1.12,1.88,2.23,2.28,1.58,1.01,1.01
1.83,1.92,1.89,1.05,1.06,1.12,1.85,2.24,2.29,1.66,1.02,1.01
1.83,1.92,1.89,1.05,1.06,1.12,1.85,2.24,2.29,1.65,1.02,1.02
1.83,1.93,1.9,1.05,1.06,1.12,1.85,2.25,2.29,1.64,1.02,1.02
1.83,1.93,1.9,1.05,1.06,1.12,1.84,2.26,2.3,1.63,1.02,1.02
1.83,1.93,1.9,1.05,1.06,1.12,1.83,2.26,2.3,1.62,1.02,1.02
1.84,1.93,1.91,1.05,1.07,1.12,1.83,2.26,2.3,1.62,1.02,1.02
1.84,1.93,1.91,1.05,1.07,1.12,1.82,2.26,2.3,1.62,1.02,1.02
1.84,1.93,1.91,1.05,1.07,1.12,1.81,2.26,2.3,1.61,1.02,1.02
1.84,1.93,1.91,1.05,1.07,1.13,1.81,2.26,2.3,1.45,1.02,1.02
1.84,1.94,1.91,1.05,1.07,1.13,1.8,2.26,2.3,1.34,1.02,1.03
1.84,1.94,1.91,1.05,1.07,1.13,1.8,2.26,2.3,1.29,1.02,1.03
1.85,1.94,1.92,1.05,1.07,1.13,1.79,2.26,2.3,1.3,1.02,1.03
1.85,1.94,1.92,1.05,1.07,1.13,0.7,2.26,2.31,1.3,1.02,1.03
1.85,1.94,1.92,1.05,1.07,1.13,2.47,2.27,2.31,1.31,1.02,1.03
1.85,1.94,1.92,1.05,1.07,1.13,2.95,2.27,2.31,1.31,1.02,1.03
1.85,1.94,1.92,1.05,1.07,1.13,2.95,2.27,2.31,1.32,1.02,1.03
1.86,1.94,1.92,1.05,1.07,1.13,2.94,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.05,1.07,1.13,2.9,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.06,1.07,1.13,2.89,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.06,1.08,1.13,2.89,2.27,2.31,1.33,1.02,1.03
1.86,1.95,1.92,1.06,1.08,1.14,2.89,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.05,1.08,1.14,2.83,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.06,1.08,1.14,2.61,2.27,2.31,1.32,1.02,1.03
1.86,1.95,1.92,1.06,1.08,1.14,2.35,2.28,2.31,1.33,1.02,1.03
1.87,1.95,1.92,1.06,1.08,1.14,2.24,2.29,2.31,1.33,1.02,1.03
1.87,1.95,1.92,1.06,1.08,1.14,2.23,2.29,2.31,1.33,1.02,1.03
1.87,1.95,1.92,1.06,1.08,1.14,2.25,2.29,2.31,1.33,1.02,1.03
1.87,1.95,1.92,1.06,1.08,1.14,2.27,2.29,2.32,1.33,1.02,1.04
1.87,1.96,1.92,1.06,1.08,1.14,2.28,2.29,2.32,1.33,1.02,1.04
1.87,1.96,1.92,1.06,1.08,1.14,2.29,2.29,2.32,1.33,1.02,1.04
1.87,1.96,1.92,1.06,1.08,1.14,2.29,2.3,2.32,1.33,1.02,1.04
1.87,1.96,1.93,1.06,1.08,1.14,2.29,2.3,2.32,1.33,1.02,1.04
1.87,1.96,1.93,1.06,1.08,1.14,2.29,2.3,2.32,1.33,1.02,1.04
1.87,1.96,1.93,1.06,1.08,1.14,2.29,2.3,2.32,1.34,1.02,1.04
1.88,1.96,1.93,1.07,1.08,1.14,2.29,2.3,2.32,1.34,1.02,1.04
1.88,1.96,1.93,1.29,1.08,1.14,2.3,2.3,2.32,1.34,1.02,1.04
1.88,1.96,1.93,1.88,1.08,1.14,2.3,2.3,2.32,1.34,1.02,1.04
1.88,1.96,1.93,2.17,1.08,1.15,2.3,2.3,2.32,1.34,1.02,1.04
1.96,1.96,1.93,2.18,1.08,1.15,2.3,2.3,2.32,1.34,1.02,1.04
2.52,1.96,1.93,2.13,1.08,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.16,1.96,1.93,1.99,1.08,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.28,1.96,1.93,1.98,1.09,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.19,1.97,1.93,2,1.31,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.08,1.97,1.93,2.02,2.03,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.08,1.97,1.93,2.04,2.54,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.1,1.97,1.93,2.09,2.51,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.12,1.97,1.93,2.13,2.39,1.15,2.3,2.3,2.32,1.34,1.02,1.04
3.13,1.97,1.93,2.12,2.3,1.15,2.31,2.3,2.32,1.34,1.02,1.04
3.14,1.97,1.93,2.11,2.31,1.15,2.31,2.3,2.32,1.34,1.02,1.04
3.15,1.97,1.93,2.11,2.34,1.15,2.31,2.3,2.32,1.34,1.02,1.04
3.18,1.97,1.93,2.12,2.37,1.15,2.31,2.3,2.32,1.34,1.02,1.04
3.2,1.98,1.93,2.12,2.38,1.16,2.31,2.3,2.33,1.34,1.02,1.04
3.2,1.98,1.93,2.12,2.48,1.33,2.31,2.3,2.32,1.34,1.02,1.04
3.19,1.98,1.93,2.13,2.5,2.02,2.31,2.31,2.32,1.34,1.02,1.04
3.19,1.98,1.93,2.13,2.49,2.57,2.31,2.31,2.33,1.34,1.02,1.04
3.2,1.98,1.93,2.14,2.48,2.64,2.31,2.31,2.33,1.34,1.02,1.04
3.2,1.98,1.93,2.14,2.48,2.49,2.31,2.31,2.33,1.34,1.02,1.04
