Weight_1818up,Weight_1818dp,Weight_1818dn,Weight_1818un,Weight_1818un.2,Weight_1818un.3,Weight_1830up,Weight_1830dp,Weight_1830dp.3,Weight_1830dn,Weight_1830dn.3,Weight_1830un
0.24,0.51,0.52,0.32,0.32,0.31,1.45,8.82,4.28,3.67,4.13,4.32
0.48,0.51,0.53,0.32,0.32,0.31,1.45,8.83,4.28,3.67,4.1,4.31
0.48,0.51,0.53,0.32,0.32,0.31,1.45,8.79,4.28,3.67,3.94,4.31
0.48,0.51,0.53,0.32,0.32,0.33,1.45,8.75,4.67,3.67,3.81,4.3
0.48,0.51,0.53,0.32,0.32,0.46,1.45,8.72,7.39,3.67,3.82,4.27
0.48,0.51,0.53,0.33,0.32,0.89,1.45,8.71,9.32,3.68,3.87,4.26
0.48,0.51,0.53,0.33,0.32,0.93,1.45,8.62,9.41,3.68,3.88,4.28
0.47,0.51,0.53,0.33,0.32,0.89,1.45,8.21,9.37,3.68,3.92,4.3
0.46,0.51,0.53,0.33,0.32,0.84,1.45,7.78,9.33,3.69,3.98,4.32
0.42,0.51,0.53,0.33,0.32,0.85,1.45,7.7,9.29,3.69,3.98,4.33
0.42,0.51,0.53,0.33,0.32,0.87,1.45,7.74,9.28,3.69,3.96,4.34
0.42,0.51,0.53,0.33,0.32,0.89,1.45,7.76,9.2,3.69,3.95,4.35
0.42,0.51,0.53,0.33,0.32,0.91,1.45,7.79,8.78,3.69,3.95,4.36
0.42,0.51,0.53,0.33,0.32,0.92,1.45,7.83,8.29,3.7,3.95,4.37
0.42,0.51,0.53,0.33,0.32,0.98,1.45,7.84,8.21,3.7,3.96,4.38
0.42,0.51,0.53,0.33,0.32,0.99,1.45,7.84,8.29,3.7,3.96,4.39
0.42,0.51,0.54,0.33,0.32,0.99,1.45,7.84,8.33,3.7,3.96,4.39
0.42,0.51,0.64,0.33,0.32,1,1.45,7.85,8.34,3.7,3.96,4.4
