Weight_dn12.1,Weight_dn12.2,Weight_dn12.3,Weight_un12.1,Weight_un12.2,Weight_un12.3,Weight_dp12.1,Weight_dp12.2,Weight_dp12.3,Weight_up12.1,Weight_up12.2,Weight_up12.3
0.76,3.0,0.69,1.87,0.91,1.25,1.25,1.95,1.93,0.7,1.46,0.72
1.91,0.74,2.02,1.87,1.54,1.57,3.02,3.21,3.16,1.6,1.51,1.54
2.28,1.85,2.55,1.86,1.61,1.51,3.33,3.28,3.23,1.72,1.51,1.64
1.89,2.24,2.39,1.86,1.43,1.28,3.34,3.26,3.22,1.72,1.5,1.62
1.53,1.96,1.95,1.86,1.18,1.12,3.32,3.24,3.2,1.71,1.48,1.61
1.57,1.57,1.74,1.85,1.12,1.12,3.3,3.22,3.16,1.69,1.47,1.6
1.91,1.48,1.76,1.85,1.15,1.15,3.3,3.22,3.16,1.68,1.47,1.6
1.83,1.82,1.84,1.84,1.2,1.2,3.3,3.21,3.16,1.68,1.47,1.6
1.71,1.9,2.08,1.84,1.33,1.29,3.3,3.19,3.12,1.67,1.45,1.59
1.66,1.87,2.08,1.84,1.32,1.28,3.29,3.01,2.94,1.64,1.37,1.51
1.74,1.73,2.04,1.84,1.3,1.26,3.18,2.46,2.63,1.52,1.24,1.36
1.84,1.63,1.94,1.86,1.26,1.23,2.94,2.42,2.43,1.39,1.16,1.24
1.84,1.65,1.89,1.84,1.21,1.19,2.75,2.43,2.39,1.34,1.14,1.22
1.8,1.74,1.92,1.86,1.21,1.2,2.73,2.46,2.4,1.34,1.15,1.23
1.73,1.81,1.95,1.89,1.23,1.21,2.74,2.48,2.43,1.34,1.16,1.24
1.74,1.82,1.96,1.89,1.24,1.22,2.76,2.48,2.45,1.34,1.17,1.24
1.79,1.74,1.98,1.88,1.25,1.22,2.78,2.48,2.47,1.36,1.17,1.24
1.84,1.72,1.99,1.87,1.25,1.23,2.78,2.48,2.47,1.36,1.18,1.24
1.84,1.74,2.0,1.87,1.26,1.23,2.78,2.48,2.47,1.36,1.18,1.24
1.83,1.75,2.0,1.87,1.26,1.24,2.78,2.49,2.47,1.36,1.18,1.24
1.8,1.76,2.0,1.86,1.26,1.24,2.79,2.5,2.47,1.36,1.18,1.24
1.77,1.77,2.01,1.86,1.26,1.24,2.8,2.5,2.47,1.37,1.19,1.25
1.77,1.77,2.01,1.86,1.26,1.24,2.8,2.5,2.47,1.37,1.19,1.25
1.8,1.78,2.01,1.85,1.27,1.24,2.81,2.51,2.47,1.38,1.19,1.25
1.84,1.79,2.02,1.85,1.26,1.24,2.81,2.52,2.47,1.38,1.19,1.25
1.86,1.8,2.02,1.84,1.26,1.24,2.81,2.52,2.46,1.38,1.19,1.25
1.86,1.8,2.02,1.84,1.27,1.24,2.81,2.52,2.47,1.38,1.18,1.25
1.85,1.8,2.03,1.84,1.27,1.25,2.81,2.52,2.48,1.38,1.18,1.25
1.79,1.81,2.03,1.84,1.27,1.25,2.81,2.51,2.48,1.38,1.18,1.25
