Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.93,1.86,14.78,3.85
,,12.92,1.86,14.78,3.85
,,12.92,1.86,14.78,3.85
,,12.92,1.86,14.78,3.85
,,12.92,1.86,14.78,3.85
,,12.94,1.86,14.78,3.85
,,13.12,1.86,14.78,3.85
,,13.24,1.86,14.78,
,,13.23,1.86,14.78,
,,13.21,1.86,14.78,
,,13.18,1.86,14.78,
,,13.12,1.86,14.78,
,,13.11,1.86,14.78,
,,13.1,1.86,14.78,
,,13.09,1.86,14.79,
,,13.09,1.86,14.79,
,,13.08,1.86,14.79,
,,13.08,1.86,14.79,
,,13.08,1.86,14.79,
,,13.08,1.86,14.79,
,,13.07,1.86,14.79,
,,13.07,1.87,14.79,
,,13.06,2.09,14.79,
,,13.06,2.4,14.79,
,,13.06,2.39,14.79,
,,13.06,2.38,14.79,
,,13.06,2.37,14.79,
,,13.05,2.34,14.79,
,,13.05,2.25,14.79,
,,13.05,2.22,14.79,
,,13.04,2.22,14.79,
,,13.04,2.23,14.79,
,,13.04,2.23,14.79,
,,13.04,2.23,14.79,
,,13.03,2.23,14.79,
,,13.03,2.24,14.79,
,,13.03,2.24,14.79,
,,13.03,2.24,14.8,
,,13.02,2.24,14.81,
,,13.02,2.24,14.81,
,,13.02,2.24,,
,,13.02,2.24,,
,,13.01,2.24,,
,,13.01,2.24,,
,,13.01,2.24,,
,,13.01,2.24,,
,,13,2.24,,
,,13,2.24,,
,,13,2.23,,
,,13,2.24,,
,,13,2.24,,
,,12.99,2.23,,
,,12.99,2.24,,
,,12.99,2.23,,
,,12.98,2.23,,
,,12.98,2.23,,
,,12.98,2.23,,
,,12.98,2.23,,
,,12.97,2.23,,
,,12.97,2.24,,
,,12.97,2.24,,
,,12.97,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.96,2.24,,
,,12.97,2.24,,
,,12.97,2.24,,
,,12.98,2.24,,
,,12.97,2.23,,
,,12.97,2.24,,
,,12.97,2.24,,
,,12.97,2.27,,
,,12.97,2.31,,
,,12.96,2.3,,
,,12.96,2.3,,
,,12.96,2.29,,
,,12.96,2.28,,
,,12.97,2.27,,
,,12.99,2.27,,
,,13.72,2.27,,
,,15.42,2.27,,
,,15.79,2.26,,
,,15.67,2.26,,
,,15.58,2.26,,
,,15.19,2.26,,
,,14.9,2.26,,
,,14.93,2.26,,
,,14.96,2.26,,
,,14.98,2.26,,
,,14.99,2.25,,
,,14.99,2.25,,
,,14.99,2.25,,
,,15,2.25,,
,,15,2.25,,
,,15,2.25,,
,,15.01,2.25,,
,,15.01,2.25,,
,,15.01,2.24,,
,,15.01,2.24,,
,,15,2.24,,
,,15,2.24,,
,,15,2.24,,
,,15,2.24,,
,,15.01,2.24,,
,,15.01,2.23,,
,,15.01,2.23,,
,,15.01,2.23,,
,,15.01,2.23,,
,,15.01,2.23,,
,,15,2.23,,
,,15.03,2.23,,
,,15.21,2.23,,
,,15.31,2.23,,
,,15.3,2.23,,
,,15.27,2.23,,
,,15.24,2.23,,
,,15.19,2.23,,
,,15.18,2.23,,
,,15.17,2.23,,
,,15.16,2.23,,
,,15.16,2.23,,
,,15.16,2.23,,
,,15.15,2.23,,
,,15.15,2.23,,
,,15.15,2.23,,
,,15.15,2.23,,
,,15.14,2.23,,
,,15.14,2.23,,
,,15.14,2.23,,
,,15.14,2.23,,
,,15.13,2.23,,
,,15.13,2.23,,
,,15.13,2.23,,
,,15.12,2.23,,
,,15.12,2.23,,
,,15.12,2.23,,
,,15.12,2.23,,
,,15.11,2.23,,
,,15.11,2.25,,
,,15.11,2.25,,
,,15.11,2.26,,
,,15.1,2.25,,
,,15.1,2.25,,
,,15.1,2.25,,
,,15.09,2.25,,
,,15.09,2.25,,
,,15.09,2.25,,
,,15.09,2.25,,
,,15.09,2.25,,
,,15.08,2.25,,
,,15.08,2.25,,
,,15.07,2.25,,
,,15.07,2.25,,
,,15.07,2.25,,
,,15.07,2.25,,
,,15.06,2.25,,
,,15.06,2.25,,
,,15.06,2.25,,
,,15.06,2.25,,
,,15.07,2.25,,
,,15.06,2.25,,
,,15.06,2.25,,
,,15.07,2.25,,
,,15.08,2.24,,
,,15.08,2.25,,
,,15.08,2.25,,
,,15.08,2.25,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.08,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.06,2.24,,
,,15.06,2.24,,
,,15.06,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.06,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.07,2.24,,
,,15.08,2.26,,
,,15.08,2.73,,
,,15.08,2.73,,
,,15.08,2.72,,
,,15.07,2.71,,
,,15.07,2.69,,
,,15.07,2.61,,
,,15.07,2.54,,
,,15.07,2.55,,
,,15.07,2.56,,
,,15.07,2.56,,
,,15.07,2.57,,
,,15.07,2.57,,
,,15.06,2.57,,
,,15.06,2.57,,
,,15.07,2.56,,
,,15.15,2.56,,
,,15.26,2.56,,
,,15.26,2.57,,
,,15.26,2.57,,
,,15.25,2.57,,
,,15.23,2.57,,
,,15.22,2.57,,
,,15.21,2.57,,
,,15.21,2.57,,
,,15.21,2.57,,
,,15.2,2.57,,
,,15.2,2.57,,
,,15.2,2.58,,
,,15.2,2.59,,
,,15.19,2.6,,
,,15.19,2.6,,
,,15.19,2.6,,
,,15.18,2.6,,
,,15.18,2.6,,
,,15.18,2.6,,
,,15.18,2.6,,
,,15.17,2.6,,
,,15.17,2.6,,
,,15.17,2.6,,
,,15.16,2.6,,
,,15.16,2.6,,
,,15.16,2.6,,
,,15.16,2.6,,
,,15.15,2.6,,
,,15.15,2.6,,
,,15.15,2.6,,
,,15.14,2.59,,
,,15.14,2.59,,
,,15.14,2.59,,
,,15.14,2.6,,
,,15.13,2.6,,
,,15.13,2.59,,
,,15.13,2.59,,
,,15.12,2.59,,
,,15.12,2.59,,
,,15.12,2.59,,
,,15.11,2.59,,
,,15.11,2.59,,
,,15.11,2.59,,
,,15.11,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.1,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.09,2.59,,
,,15.13,2.59,,
,,15.21,2.59,,
,,15.26,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.59,,
,,,2.6,,
,,,2.6,,
,,,2.66,,
,,,3.02,,
,,,3.19,,
,,,3.17,,
,,,3.15,,
,,,3.13,,
,,,3.07,,
,,,3.02,,
,,,3.03,,
,,,3.03,,
,,,3.03,,
,,,3.03,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.05,,
,,,3.08,,
,,,3.09,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.08,,
,,,3.09,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.04,,
,,,3.06,,
,,,3.09,,
,,,3.1,,
,,,3.1,,
,,,3.09,,
,,,3.09,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.04,,
,,,3.07,,
,,,3.11,,
,,,3.12,,
,,,3.11,,
,,,3.1,,
,,,3.09,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.08,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.07,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.06,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.05,,
,,,3.07,,
,,,3.07,,
