Weight_d27mm,Weight_u27mm,Weight_d24mm,Weight_u24mm,Weight_d21mm,Weight_u21mm
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.21,1.11,4.19,0.56,4.14,1.32
4.22,1.11,4.19,0.56,4.14,1.32
4.22,1.11,4.19,0.56,4.14,1.32
4.22,1.11,4.19,0.56,4.14,1.32
4.22,1.11,4.2,0.56,4.14,1.32
4.22,1.11,4.2,0.56,4.14,1.32
4.22,1.11,4.2,0.56,4.15,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.2,0.56,4.16,1.32
4.22,1.11,4.21,0.56,4.48,1.32
4.23,1.11,4.21,0.56,6.01,1.32
4.23,1.11,4.21,0.56,6.79,1.32
4.23,1.11,4.21,0.56,6.78,1.32
4.23,1.11,4.21,0.56,6.75,1.32
4.23,1.11,4.21,0.56,6.72,1.32
4.23,1.11,4.21,0.56,6.7,1.32
4.23,1.11,4.21,0.56,6.7,1.32
4.23,1.11,4.21,0.56,6.32,1.32
4.23,1.11,4.21,0.56,6.15,1.32
4.23,1.11,4.21,0.55,6.16,1.32
4.23,1.11,4.21,0.55,6.18,1.32
4.61,1.11,4.21,0.55,6.2,1.32
6.17,1.11,4.21,0.55,6.2,1.32
6.86,1.11,4.21,0.55,6.21,1.32
6.85,1.11,4.48,0.55,6.22,1.32
6.82,1.11,5.97,0.55,6.22,1.32
6.79,1.11,6.82,0.55,6.23,1.32
6.78,1.11,6.78,0.55,6.23,1.32
6.69,1.11,6.75,0.55,6.23,1.32
6.41,1.11,6.73,0.55,6.23,1.49
6.26,1.11,6.72,0.55,6.23,1.94
6.26,1.11,6.67,0.55,6.23,2.05
6.27,1.11,6.43,0.55,6.23,2.03
6.29,1.11,6.23,0.55,6.24,2.02
6.29,1.11,6.23,0.55,6.24,2.01
6.29,1.18,6.23,0.55,6.24,2
6.29,1.52,6.23,0.55,6.24,1.98
6.3,1.67,6.24,0.55,6.24,1.9
6.3,1.67,6.25,0.55,6.24,1.83
6.31,1.66,6.25,0.55,6.24,1.83
6.32,1.65,6.25,0.55,6.25,1.83
6.32,1.64,6.25,0.55,6.25,1.84
6.32,1.64,6.25,0.55,6.25,1.84
6.32,1.63,6.25,0.55,6.25,1.84
6.32,1.59,6.26,0.55,6.25,1.85
6.33,1.54,6.26,0.55,6.25,1.85
6.33,1.53,6.27,0.55,6.25,1.85
6.33,1.54,6.27,0.55,6.25,1.85
6.33,1.54,6.28,0.55,6.25,1.85
6.33,1.54,6.28,0.57,6.25,1.85
6.34,1.54,6.28,0.83,6.26,1.85
6.34,1.54,6.28,1.1,6.26,1.85
6.34,1.54,6.28,1.11,6.26,1.85
6.34,1.54,6.28,1.09,6.26,1.85
6.34,1.54,6.28,1.08,6.26,1.85
6.34,1.54,6.28,1.07,6.26,1.85
6.34,1.54,6.28,1.07,6.26,1.85
6.35,1.54,6.29,1.06,6.26,1.85
6.35,1.54,6.3,1.01,6.26,1.85
6.35,1.54,6.3,0.94,6.26,1.85
6.35,1.54,6.3,0.91,6.26,1.85
6.35,1.54,6.3,0.91,6.26,1.85
6.35,1.55,6.3,0.92,6.27,1.85
